Frequency,Pxx_den
0.0,7.985249778962834e-14
7.234947691328192e-06,1.1382109248126627e+18
1.4469895382656383e-05,4.9726601582224296e+16
2.1704843073984574e-05,1.2601628773901829e+17
2.8939790765312767e-05,910120675956984.1
3.617473845664096e-05,4.539354316667e+16
4.340968614796915e-05,5519900856252745.0
5.0644633839297344e-05,2.3140547616783036e+16
5.787958153062553e-05,228362784637432.5
6.511452922195372e-05,1.4010036344616136e+16
7.234947691328192e-05,1992620292028523.2
7.958442460461011e-05,9376679967813902.0
8.68193722959383e-05,101106580886623.86
9.405431998726649e-05,6712210647143492.0
0.00010128926767859469,1019263199279250.9
0.00010852421536992287,5049316411686199.0
0.00011575916306125107,56792662819690.85
0.00012299411075257925,3915536017224304.5
0.00013022905844390744,613633684955533.4
0.00013746400613523564,3148473791849849.5
0.00014469895382656384,36929050023089.76
0.00015193390151789203,2570204516635389.0
0.00015916884920922023,411181974555917.75
0.0001664037969005484,2147284514623154.2
0.0001736387445918766,25319938891910.89
0.0001808736922832048,1808479480092804.2
0.00018810863997453298,294153647919782.8
0.00019534358766586118,1561748190641148.5
0.00020257853535718938,18768917040649.918
0.00020981348304851755,1338993622224283.5
0.00021704843073984574,218482367385236.25
0.00022428337843117394,1203608869920061.2
0.00023151832612250213,16912982164194.732
0.00023875327381383033,1058661277792503.4
0.0002459882215051585,175134563825074.38
0.0002532231691964867,919132832917107.2
0.0002604581168878149,11506039115772.422
0.0002676930645791431,831317491594131.4
0.0002749280122704713,139711790372972.7
0.0002821629599617995,743878542354887.4
0.0002893979076531277,9280236317872.674
0.00029663285534445587,674803115789378.1
0.00030386780303578407,113852181070865.28
0.00031110275072711226,613333696282020.2
0.00031833769841844046,7817362023141.623
0.0003255726461097686,560130846922193.94
0.0003328075938010968,94865818514008.98
0.000340042541492425,512895276594636.6
0.0003472774891837532,6597112355708.047
0.0003545124368750814,472125362886014.5
0.0003617473845664096,80321492504660.8
0.0003689823322577378,435367149078433.3
0.00037621727994906597,5615302719171.427
0.00038345222764039417,403270626207429.8
0.00039068717533172236,69121158823561.88
0.00039792212302305056,375329276784105.94
0.00040515707071437875,4889046056988.069
0.00041239201840570695,348358747632585.1
0.0004196269660970351,59655495328311.6
0.0004268619137883633,325954773984837.7
0.0004340968614796915,4303057125013.209
0.0004413318091710197,304529893929689.44
0.0004485667568623479,52667477947465.17
0.00045580170455367607,287225554533116.8
0.00046303665224500427,4182406465260.0264
0.00047027159993633246,268293431093364.12
0.00047750654762766066,45613096525341.69
0.00048474149531898885,252158114078050.38
0.000491976443010317,3367654058228.5454
0.0004992113907016452,237584288657416.47
0.0005064463383929734,40796647022923.91
0.0005136812860843016,225003341941369.62
0.0005209162337756298,3073123894707.915
0.000528151181466958,212525046517173.12
0.0005353861291582862,36480339717220.45
0.0005426210768496144,201387797145760.2
0.0005498560245409426,2751120271976.3984
0.0005570909722322707,190975838913430.53
0.000564325919923599,32992914930268.2
0.0005715608676149271,181762433284566.53
0.0005787958153062553,2502856365478.9033
0.0005860307629975835,172273401357551.8
0.0005932657106889117,29766974372300.086
0.0006005006583802399,164671594952394.72
0.0006077356060715681,2290371805744.3896
0.0006149705537628963,156461620928552.66
0.0006222055014542245,26979241980060.254
0.0006294404491455527,149877367332496.44
0.0006366753968368809,2124116512378.0916
0.0006439103445282091,142764849060655.06
0.0006511452922195372,24645538229262.21
0.0006583802399108654,136971357206299.75
0.0006656151876021936,1939913379373.728
0.0006728501352935218,130473273303687.78
0.00068008508298485,22217531401339.344
0.0006873200306761782,126315390857766.64
0.0006945549783675064,1838631267111.8916
0.0007017899260588346,120737572769754.53
0.0007090248737501628,21579894800028.285
0.000716259821441491,115465921872565.05
0.0007234947691328192,1693321996083.574
0.0007307297168241474,110960868820636.5
0.0007379646645154755,19595359011817.34
0.0007451996122068037,106777982544370.8
0.0007524345598981319,1578094913147.504
0.0007596695075894601,102558718693102.38
0.0007669044552807883,18136620806534.746
0.0007741394029721165,99035548311433.14
0.0007813743506634447,1475359361290.1326
