Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.991,0.619,0.31,45.59,26.5,140.37105083465576,0.08576951917082659,0.7897872924804688,0.05786490440368652
cpu_system_time_diff_ema_1,0.948,0.108,0.062,27.39,20.44,140.37105083465576,0.08576951917082659,0.7897872924804688,0.05786490440368652
cpu_idle_time_diff_ema_1,0.991,0.599,0.254,6.9,6.08,140.37105083465576,0.08576951917082659,0.7897872924804688,0.05786490440368652
memory_ema_1,0.991,0.504,0.299,1.26,1.25,140.37105083465576,0.08576951917082659,0.7897872924804688,0.05786490440368652
