State,Hurst_RS,CI_RS,Hurst_Variance,CI_Variance,Hurst_Periodogram,Noise_Level
entire,-3.6121887153458454e-06,"(-7.897098839477515, 7.897091615100084)",0.9999963878112846,"(-6.897098839477515, 8.897091615100084)",1.9029481321096435,260.37626829744534
entire,-3.6121887153458454e-06,"(-7.897098839477515, 7.897091615100084)",0.9999963878112846,"(-6.897098839477515, 8.897091615100084)",1.9029481321096435,260.37626829744534
Stream,-0.0011473305527888286,"(-7.417461059433997, 7.415166398328418)",0.9988526694472112,"(-6.417461059433997, 8.415166398328418)",1.9027999612937867,681.509224581616
Gaming,-0.00023633749680678927,"(-7.596020092931609, 7.595547417937996)",0.9997636625031933,"(-6.596020092931609, 8.595547417937997)",1.9022579429459419,561.2387967239277
Idle,-0.0019496327845918478,"(-7.263475033909305, 7.259575768340122)",0.9980503672154082,"(-6.263475033909305, 8.259575768340122)",1.9019322358395612,664.5831254464997
Mining,-0.0007166372463267948,"(-7.485389865104423, 7.48395659061177)",0.9992833627536728,"(-6.485389865104424, 8.483956590611768)",1.902196010987693,720.7792703562362
AR,-0.00036069803347866625,"(-7.568354795070167, 7.56763339900321)",0.9996393019665213,"(-6.568354795070167, 8.56763339900321)",1.9021979602462697,680.8320924012962
