CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0928,0.0227,1.0,0.7759,0.3121,0.0,0.2903,0.902,0.983,0.8461,0.0874,0.5395
0.1922,0.4477,0.892,1.0,0.1664,0.0,0.0665,0.3904,0.7382,0.7262,0.3992,0.4563
0.6633,0.3931,0.0606,0.0252,1.0,0.0,0.0308,0.0434,0.8277,0.7263,0.4706,0.341
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1781,0.4239,0.0,0.0,0.1658,0.0,1.0,0.0,0.0,0.0118,0.9237,0.2168
0.0642,0.8418,0.4528,0.276,0.2848,0.0,0.6593,1.0,0.0328,0.0333,0.7264,0.3488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0461,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
