CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature
1.0,0.5700156028353468,0.05447270391632101,0.05805943278712202,0.038452403270743826,0.4125625447063972,0.05213486961510859,0.056721061538435605,0.05296926842078266,0.10354821834035088,0.5952142240428053
0.5700156028353468,1.0,0.047774752691588276,0.0492449710474476,0.04091266028678539,0.264886418269905,0.04745883416503286,0.05262698697657612,0.07721277379856692,0.09816658831039785,0.910427838281635
0.05447270391632101,0.047774752691588276,1.0,0.9991714808143123,0.9816737309723522,0.04180678326202025,0.9987981361573688,0.9985000198528817,0.007266459711729102,0.029764544764224368,0.20423521989642032
0.05805943278712202,0.0492449710474476,0.9991714808143123,1.0,0.9765130738713331,0.04724925019608168,0.9979190068329828,0.9976386965808788,0.007385599665611607,0.03024846901764321,0.20221513413384398
0.038452403270743826,0.04091266028678539,0.9816737309723522,0.9765130738713331,1.0,0.02101918481554626,0.9867643238694251,0.9861510047311375,0.005860437285183414,0.026978069136461075,0.2078377848825598
0.4125625447063972,0.264886418269905,0.04180678326202025,0.04724925019608168,0.02101918481554626,1.0,0.0423095605935038,0.044599042007390836,0.13492697108174204,0.34472148364769284,0.23348395280368778
0.05213486961510859,0.04745883416503286,0.9987981361573688,0.9979190068329828,0.9867643238694251,0.0423095605935038,1.0,0.9994317416022525,0.007157521283359154,0.030357483144767113,0.20276517525520021
0.056721061538435605,0.05262698697657612,0.9985000198528817,0.9976386965808788,0.9861510047311375,0.044599042007390836,0.9994317416022525,1.0,0.006857204621247693,0.030675457329617017,0.20962722184781388
0.05296926842078266,0.07721277379856692,0.007266459711729102,0.007385599665611607,0.005860437285183414,0.13492697108174204,0.007157521283359154,0.006857204621247693,1.0,0.25772654644200443,0.03212978991868213
0.10354821834035088,0.09816658831039785,0.029764544764224368,0.03024846901764321,0.026978069136461075,0.34472148364769284,0.030357483144767113,0.030675457329617017,0.25772654644200443,1.0,0.06325787270170921
0.5952142240428053,0.910427838281635,0.20423521989642032,0.20221513413384398,0.2078377848825598,0.23348395280368778,0.20276517525520021,0.20962722184781388,0.03212978991868213,0.06325787270170921,1.0
