State,Hurst_RS,CI_RS,Hurst_Variance,CI_Variance,Hurst_Periodogram,Noise_Level
entire,3.3570327301924745e-05,"(-5.828392101535845, 5.828459242190449)",1.000033570327302,"(-4.828392101535845, 6.828459242190449)",1.0176014104425501,0.0004104745444698584
entire,3.3570327301924745e-05,"(-5.828392101535845, 5.828459242190449)",1.000033570327302,"(-4.828392101535845, 6.828459242190449)",1.0176014104425501,0.0004104745444698584
Mining,0.0002833366396012017,"(-8.868730019422252, 8.869296692701454)",1.0002833366396016,"(-7.868730019422252, 9.869296692701454)",1.029109029069505,1.5464173191404692e-05
AR,0.0004738896530806018,"(-8.0315802072351, 8.032527986541263)",1.0004738896530807,"(-7.0315802072351, 9.032527986541263)",0.9994623447924534,3.516353243023896e-05
Stream,-0.007731530141386186,"(-5.6887354699287815, 5.6732724096460085)",0.9922684698586138,"(-4.6887354699287815, 6.6732724096460085)",0.9831515134904535,0.0009272454014712597
Idle,0.00026472343461112787,"(-8.988158487370914, 8.988687934240136)",1.0002647234346111,"(-7.988158487370914, 9.988687934240136)",0.999738041263008,2.242053157626093e-05
Gaming,-0.0036616183375366555,"(-11.968823404394735, 11.961500167719661)",0.9963383816624634,"(-10.968823404394735, 12.961500167719661)",0.9972351222275863,2.5489751217672936e-06
