Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_sma_2,-0.005,1523229.778,108671.647,715.28,33.03,0.00032830238342285156,0.1145505458652159,3.951235055923462,0.06293463706970215
cpu_system_time_diff_sma_2,0.133,1.388,0.222,48.43,33.06,0.00032830238342285156,0.15353302657389967,4.052596807479858,0.06486392021179199
cpu_idle_time_diff_sma_2,-0.018,26581.779,3494.215,22.34,19.0,0.00032830238342285156,0.1381508787615877,4.099726915359497,0.06798243522644043
memory_sma_2,-0.01,100355676.355,9883184.051,19.01,31.7,0.00032830238342285156,0.14287177037198623,3.825345277786255,0.06357717514038086
