State,Hurst_RS,CI_RS,Hurst_Variance,CI_Variance,Hurst_Periodogram,Noise_Level
entire,0.00011364372203325154,"(-7.826647841417269, 7.826875128861334)",1.0001136437220333,"(-6.826647841417269, 8.826875128861335)",1.333008958719526,3.987477472986907e-05
entire,0.00011364372203325154,"(-7.826647841417269, 7.826875128861334)",1.0001136437220333,"(-6.826647841417269, 8.826875128861335)",1.333008958719526,3.987477472986907e-05
Gaming,0.00030000854212755643,"(-7.95184264084358, 7.9524426579278344)",1.0003000085421276,"(-6.95184264084358, 8.952442657927834)",1.011753416128614,4.705181672679935e-05
AR,0.0005116153253999929,"(-8.943148276022846, 8.944171506673648)",1.0005116153254,"(-7.943148276022846, 9.944171506673648)",1.3475699437624078,1.2961300096961939e-05
Mining,nan,"(nan, nan)",nan,"(nan, nan)",0.779462742196681,1.4750466513174372e-06
Stream,0.0005837942308143212,"(-8.789658545592415, 8.790826134054045)",1.0005837942308142,"(-7.789658545592415, 9.790826134054045)",1.4391993622330577,6.470591885395519e-05
Idle,nan,"(nan, nan)",nan,"(nan, nan)",1.05051856438937,5.456341959110016e-06
