Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff,0.972,0.686,0.267,14.86,17.27,161.43063974380493,0.060998274760153556,0.647533655166626,0.049059391021728516
cpu_system_time_diff,0.746,0.171,0.108,21.02,20.04,161.43063974380493,0.060998274760153556,0.647533655166626,0.049059391021728516
cpu_idle_time_diff,0.962,0.799,0.387,4.5,4.82,161.43063974380493,0.060998274760153556,0.647533655166626,0.049059391021728516
memory,0.987,0.261,0.122,1.28,1.28,161.43063974380493,0.060998274760153556,0.647533655166626,0.049059391021728516
