,Skewness,Kurtosis
CPU Frequency,-1.1153397644398941,-0.6472454004023573
Percent CPU Usage,1.4452424661653591,1.3739660548472004
CPU User Time,0.47076130582954895,-0.6150446594339036
CPU System Time,0.011483855630471693,-1.2027929144493148
CPU Idle Time,-0.0124511356414162,-1.8941563709263298
Percent Memory Usage,1.4666429428115682,1.2716709470391954
Network Bytes Sent,-0.02217885703638534,-1.229083974340037
Network Bytes Recieved,0.2601647538508196,-0.8903762624148364
Network Upload Rate,34.0439161925621,2438.327947688858
Network Download Rate,9.151483039380114,102.95555383777463
Temperature,1.0916790206771765,0.735012220825519
Bit Rate,1.4022247919845716,0.01750871270184806
