CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature
1.0,0.6234006783683292,0.2737674918067403,0.2752693621132866,0.3020995436587747,0.38220820253905824,0.31043868774136685,0.2808005379020282,0.028089559419171357,0.08753375203154018,0.5906188918822137
0.6234006783683292,1.0,0.1866410899882002,0.190199067661474,0.22018386006307464,0.21021889429615112,0.23065575150032808,0.1933263645938989,0.03773542242698145,0.057675250074594495,0.7943931950685507
0.2737674918067403,0.1866410899882002,1.0,0.9988527448427159,0.9725883089334367,0.07973815272716707,0.960016670013373,0.9976929059413671,0.0019203890057131673,-0.0035279426509279076,0.3569167564834903
0.2752693621132866,0.190199067661474,0.9988527448427159,1.0,0.9773889391189012,0.0799555638413637,0.9676035082101305,0.9979642973119137,0.0020871910002577517,-0.0036218972624107977,0.36372875549856754
0.3020995436587747,0.22018386006307464,0.9725883089334367,0.9773889391189012,1.0,0.07982040471032091,0.9930742196281216,0.983537658121479,0.0011744907722810824,-0.008900910431579227,0.41386955416466403
0.38220820253905824,0.21021889429615112,0.07973815272716707,0.0799555638413637,0.07982040471032091,1.0,0.08855770732568102,0.07991406540341514,0.07765964475629254,0.32834168436372674,0.17325301113733763
0.31043868774136685,0.23065575150032808,0.960016670013373,0.9676035082101305,0.9930742196281216,0.08855770732568102,1.0,0.97132966803253,0.0016345527325510685,-0.009447747972595366,0.42156525773214654
0.2808005379020282,0.1933263645938989,0.9976929059413671,0.9979642973119137,0.983537658121479,0.07991406540341514,0.97132966803253,1.0,0.001836561476086388,-0.0050682593487318016,0.36872822709424286
0.028089559419171357,0.03773542242698145,0.0019203890057131673,0.0020871910002577517,0.0011744907722810824,0.07765964475629254,0.0016345527325510685,0.001836561476086388,1.0,0.13831996031891416,0.016312523641122696
0.08753375203154018,0.057675250074594495,-0.0035279426509279076,-0.0036218972624107977,-0.008900910431579227,0.32834168436372674,-0.009447747972595366,-0.0050682593487318016,0.13831996031891416,1.0,0.022708911894040458
0.5906188918822137,0.7943931950685507,0.3569167564834903,0.36372875549856754,0.41386955416466403,0.17325301113733763,0.42156525773214654,0.36872822709424286,0.016312523641122696,0.022708911894040458,1.0
