CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.1292,0.1065,0.1,0.0,0.7526,0.1003,0.0,0.0,0.0,0.0
0.0,0.0001,1.0,0.0001,0.0,0.4895,0.6044,0.6341,0.9349,0.8775,0.0,0.0089
0.0,0.0007,0.0036,1.0,0.0509,0.9128,0.9233,0.0014,0.9833,0.8632,0.0,0.0688
0.0,0.001,0.0002,0.0809,1.0,0.4813,0.7169,0.0321,0.9786,0.8518,0.0001,0.0691
0.001,0.0,0.0294,0.0337,0.0509,1.0,0.0093,0.0226,0.0,0.0,0.0,0.0
0.0,0.0001,0.0,0.0,0.0,0.2165,1.0,0.0,0.0,0.0727,0.0,0.0
0.0,0.0004,0.2415,0.0008,0.0087,0.0038,0.9477,1.0,0.7941,0.1728,0.0,0.0394
0.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0006,0.0
0.0,0.0,0.7512,0.747,0.1069,0.0,0.0071,0.8348,0.0,1.0,0.0,0.0
0.0,0.0,0.0168,0.036,0.0307,0.0,0.0652,0.0484,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2554,0.0,0.0,0.0,0.0,1.0
