CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.4665995150107371,0.06950839856863625,0.06635996901416283,0.05460436133410236,0.3046489375570451,0.050812253000553906,0.0681356586126185,0.0300609098440433,0.08681640107978587,0.529308948326996,0.2571082062434878
0.4665995150107371,1.0,0.059776976090878245,0.06164022889100926,0.06253682895916661,0.05523975492321,0.0068314671885936935,0.06329319351570517,-0.006311079499784239,0.036204811985271285,0.9587241528791882,0.5576616794380399
0.06950839856863625,0.059776976090878245,1.0,0.9971098802040037,0.9768479624438577,0.11642938143423276,0.8536661304271846,0.9967898435073647,0.050281213653204926,0.0014001775298380442,0.06881912162600029,0.030454206698400252
0.06635996901416283,0.06164022889100926,0.9971098802040037,1.0,0.9878260144479635,0.10516629822018049,0.8535463732159079,0.9992815344093466,0.048603353481279594,-0.0014127776608484238,0.0688084341168673,0.030563272080483938
0.05460436133410236,0.06253682895916661,0.9768479624438577,0.9878260144479635,1.0,0.07872282886911801,0.8100594774517192,0.983395686376707,0.041174955961902154,-0.007106314696903918,0.06649295515377636,0.029289722488022914
0.3046489375570451,0.05523975492321,0.11642938143423276,0.10516629822018049,0.07872282886911801,1.0,0.1334217958240879,0.1077480537019954,0.016072006385202033,0.34838014942733914,0.08335175142015007,0.18715617608685656
0.050812253000553906,0.0068314671885936935,0.8536661304271846,0.8535463732159079,0.8100594774517192,0.1334217958240879,1.0,0.8628755103436597,0.07305743395973073,0.011913429519216697,0.028874143341550643,0.007363477800280955
0.0681356586126185,0.06329319351570517,0.9967898435073647,0.9992815344093466,0.983395686376707,0.1077480537019954,0.8628755103436597,1.0,0.048788969744405136,-0.0007334628257706951,0.071214242231089,0.03184125361162475
0.0300609098440433,-0.006311079499784239,0.050281213653204926,0.048603353481279594,0.041174955961902154,0.016072006385202033,0.07305743395973073,0.048788969744405136,1.0,0.0522034122775733,-0.0025755826929627517,0.08429969343279933
0.08681640107978587,0.036204811985271285,0.0014001775298380442,-0.0014127776608484238,-0.007106314696903918,0.34838014942733914,0.011913429519216697,-0.0007334628257706951,0.0522034122775733,1.0,0.01656188049875193,0.1526849197600459
0.529308948326996,0.9587241528791882,0.06881912162600029,0.0688084341168673,0.06649295515377636,0.08335175142015007,0.028874143341550643,0.071214242231089,-0.0025755826929627517,0.01656188049875193,1.0,0.5328554269587253
0.2571082062434878,0.5576616794380399,0.030454206698400252,0.030563272080483938,0.029289722488022914,0.18715617608685656,0.007363477800280955,0.03184125361162475,0.08429969343279933,0.1526849197600459,0.5328554269587253,1.0
