bin_edges,hist_data,kde_values
0.0,13995,0.025731121449800595
1.4463768115942028,122,0.026315808077553366
2.8927536231884057,177,0.02481501270999215
4.339130434782609,1983,0.02279592040933754
5.785507246376811,3140,0.02144840958444218
7.231884057971014,1493,0.02096856542301079
8.678260869565218,1855,0.020771167974756803
10.12463768115942,3307,0.020050829277137798
11.571014492753623,2862,0.01825501344317333
13.017391304347825,1224,0.015366171668555546
14.463768115942027,92,0.011951448072315815
15.910144927536232,12,0.00890749545796887
17.356521739130436,5,0.006996338975669689
18.80289855072464,162,0.0064710742453885205
20.24927536231884,1106,0.007053409022158083
21.695652173913043,1653,0.008273671073332982
23.142028985507245,881,0.009919943792381465
24.588405797101448,687,0.012223851029188344
26.03478260869565,495,0.015546301041357853
27.481159420289853,564,0.01973791360742938
28.927536231884055,2965,0.023767314964766195
30.37391304347826,9598,0.026129275139353796
31.820289855072463,645,0.02582320839840732
33.266666666666666,1329,0.023033072618265357
34.71304347826087,1546,0.018892237383765543
36.15942028985507,1108,0.014647583151402625
37.60579710144928,748,0.011026071010159757
39.052173913043475,585,0.00818832105142875
40.49855072463768,341,0.0060207503698667545
41.94492753623188,229,0.004380078603090522
43.391304347826086,214,0.0031633852646495474
44.837681159420285,147,0.002288127373722661
46.28405797101449,112,0.001674437957672451
47.7304347826087,74,0.0012495142713080376
49.176811594202896,67,0.0009562032601651169
50.6231884057971,62,0.0007538150846060787
52.0695652173913,44,0.0006136476194143188
53.515942028985506,50,0.0005150850321336848
54.962318840579705,30,0.000443837395947139
56.40869565217391,39,0.000390868209772036
57.85507246376811,34,0.0003510921686271036
59.301449275362316,20,0.0003221496051138004
60.74782608695652,30,0.0003036139435979445
62.19420289855072,29,0.0002964830859261429
63.64057971014493,22,0.0003025723850147301
65.08695652173913,26,0.00032354947129314504
66.53333333333333,39,0.0003597790808606757
67.97971014492754,42,0.0004095806872601976
69.42608695652174,42,0.0004694141451495536
70.87246376811594,67,0.0005350308766955595
72.31884057971014,64,0.0006032871804464616
73.76521739130435,66,0.0006740477082829588
75.21159420289855,75,0.0007514483396035547
76.65797101449274,84,0.0008444385635707811
78.10434782608695,89,0.0009677580309437454
79.55072463768116,89,0.0011446538009613502
80.99710144927536,144,0.0014108954707853579
82.44347826086957,135,0.0018174980613897991
83.88985507246376,164,0.0024292020432820664
85.33623188405797,320,0.003317311724860608
86.78260869565217,391,0.004547010729646879
88.22898550724638,519,0.006159383268338935
89.67536231884057,681,0.008144896626918146
91.12173913043478,1674,0.010396569599167517
92.56811594202898,965,0.0126375703720918
94.01449275362319,609,0.014375288223831289
95.4608695652174,4922,0.015001839255840253
96.90724637681159,1657,0.014094228330633993
98.35362318840579,369,0.011737713011632303
