Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.945,1.004,0.293,12.75,8.72,0.0004966259002685547,0.15423305968772072,5.457233190536499,0.08211660385131836
cpu_system_time_diff_ema_1,0.839,0.148,0.084,16.92,13.55,0.0004966259002685547,0.15911625567997728,5.494712829589844,0.08177447319030762
cpu_idle_time_diff_ema_1,0.958,0.893,0.259,3.37,2.85,0.0004966259002685547,0.1590790633243421,5.847670793533325,0.08298659324645996
memory_ema_1,0.959,0.492,0.177,1.6,1.62,0.0004966259002685547,0.1548260763341107,9.188681364059448,0.0831460952758789
