,Skewness,Kurtosis
CPU Frequency,-2.062876436905073,2.4614470895336615
Percent CPU Usage,0.8995503781475993,-0.05297984202641137
CPU User Time,0.3565222834868266,-1.3470270338557604
CPU System Time,0.16755981786931975,-1.2764905796588568
CPU Idle Time,0.2015468803297165,-1.4967199546560221
Percent Memory Usage,0.611767422952312,-1.3675278920244927
Network Bytes Sent,0.23232457880988233,-1.350400953701121
Network Bytes Recieved,0.10331318789438372,-1.1848495643009447
Network Upload Rate,46.5635843320001,3372.9366708072803
Network Download Rate,6.560791127130682,53.75063852257934
Temperature,0.5488003021584524,0.15657199116086717
Bit Rate,0.865150600028475,-1.229570850227499
