Trend,Residual,Seasonal
,,2873.1108330142984
,,1376.8639478393363
462304264.0,573698.5133801418,29.48661985816709
462877992.0,1493.38121403013,-1493.38121403013
462877992.0,2786.0801866816723,-2786.0801866816723
462877992.0,-2873.1108330142984,2873.1108330142984
462877992.0,-1376.8639478393363,1376.8639478393363
462878076.40000004,-113.88661989392988,29.48661985816709
462878174.00000006,1311.3812139705253,-1493.38121403013
462878271.6,2928.4801866578305,-2786.0801866816723
462878369.20000005,-2762.310833061982,2873.1108330142984
462878466.8,-1363.6639478512573,1376.8639478393363
462878480.0,-29.48661985816709,29.48661985816709
462878685.6,1287.781214006288,-1493.38121403013
462878891.20000005,2374.8801866339886,-2786.0801866816723
462879096.8000001,-2461.910833085824,2873.1108330142984
462879302.4000001,-1171.2639479347038,1376.8639478393363
462879508.00000006,-29.486619917771733,29.48661985816709
462879508.00000006,1493.3812139705253,-1493.38121403013
462879565.6,2728.4801866578305,-2786.0801866816723
462879623.2,-2988.3108330023774,2873.1108330142984
462879680.8,-1261.6639478512573,1376.8639478393363
462879738.4,28.11338016567477,29.48661985816709
462879796.0,1493.38121403013,-1493.38121403013
462879796.0,2786.0801866816723,-2786.0801866816723
462879796.0,-2873.1108330142984,2873.1108330142984
462879796.0,-1376.8639478393363,1376.8639478393363
462879796.0,-29.48661985816709,29.48661985816709
462879796.0,1493.38121403013,-1493.38121403013
462879796.0,2786.0801866816723,-2786.0801866816723
462879796.0,-2873.1108330142984,2873.1108330142984
462879853.6,-1434.4639478631782,1376.8639478393363
462879938.40000004,-171.8866198939299,29.48661985816709
462880050.00000006,1527.3812139705253,-1493.38121403013
462880161.6,2844.4801866578305,-2786.0801866816723
462880273.20000005,-2792.310833061982,2873.1108330142984
462880327.20000005,-1350.06394788702,1376.8639478393363
462880354.00000006,-29.486619917771733,29.48661985816709
462880354.00000006,1493.3812139705253,-1493.38121403013
462880354.00000006,2786.0801866220677,-2786.0801866816723
462880354.00000006,-2873.110833073903,2873.1108330142984
462880354.00000006,-1376.863947898941,1376.8639478393363
462880354.00000006,-29.486619917771733,29.48661985816709
462880411.6,1435.781214006288,-1493.38121403013
462880482.4000001,2657.680186586305,-2786.0801866816723
462880553.20000005,-2784.310833061982,2873.1108330142984
462880624.00000006,-1292.863947898941,1376.8639478393363
462880694.8000001,-16.286619929692662,29.48661985816709
462880708.00000006,1493.3812139705253,-1493.38121403013
462880708.00000006,2786.0801866220677,-2786.0801866816723
462880708.00000006,-2873.110833073903,2873.1108330142984
462880708.00000006,-1376.863947898941,1376.8639478393363
462880708.00000006,-29.486619917771733,29.48661985816709
