Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,-0.002,8469467.329,416662.27,54.49,23.82,0.0006623268127441406,0.12421421296851681,9.631240129470825,0.08278942108154297
cpu_system_time_diff_ema_1,0.025,3.307,0.27,39.18,24.12,0.0006623268127441406,0.12349341039827695,7.6188976764678955,0.0808877944946289
cpu_idle_time_diff_ema_1,0.917,1.836,0.705,13.86,9.38,0.0006623268127441406,0.11618387822589062,7.529346704483032,0.08068013191223145
memory_ema_1,0.916,3.131,1.014,2.81,2.67,0.0006623268127441406,0.12329912929183731,9.132070064544678,0.07565736770629883
