Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff,0.961,1.389,0.443,196.97,41.34,2870.8826110363007,0.11120570106791382,1.8633933067321777,0.0759270191192627
cpu_system_time_diff,0.813,0.182,0.11,285.2,43.36,2870.8826110363007,0.11120570106791382,1.8633933067321777,0.0759270191192627
cpu_idle_time_diff,0.951,1.498,0.515,11.95,10.88,2870.8826110363007,0.11120570106791382,1.8633933067321777,0.0759270191192627
memory,0.939,1.776,0.639,2.01,2.0,2870.8826110363007,0.11120570106791382,1.8633933067321777,0.0759270191192627
