State,Hurst_RS,CI_RS,Hurst_Variance,CI_Variance,Hurst_Periodogram,Noise_Level
entire,-4.307110641045249e-05,"(-1.374761883973831, 1.3746757417610098)",0.9999569288935896,"(-0.3747618839738309, 2.37467574176101)",1.4634594676020163,2.103781833820198
entire,-4.307110641045249e-05,"(-1.374761883973831, 1.3746757417610098)",0.9999569288935896,"(-0.3747618839738309, 2.37467574176101)",1.4634594676020163,2.103781833820198
Gaming,0.00023995053731840017,"(-0.5400059975036229, 0.5404858985782597)",1.0002399505373183,"(0.4599940024963771, 1.5404858985782597)",1.3513257084947985,1.3513186095995195
AR,2.2682917048949145e-05,"(-0.22532730520100316, 0.22537267103510109)",1.0000226829170489,"(0.7746726947989968, 1.2253726710351012)",1.3672795095518682,1.0773897899828662
Mining,nan,"(nan, nan)",nan,"(nan, nan)",1.7299717141668203,3.536790553685382
Stream,0.0005837942308138823,"(-0.433072835164868, 0.4342404236264958)",1.0005837942308138,"(0.566927164835132, 1.4342404236264956)",1.425280994527314,1.1742890509464439
Idle,nan,"(nan, nan)",nan,"(nan, nan)",1.2675589679821848,1.105089548180006
