Trend,Residual,Seasonal
108206381.00000001,2108.1686768189948,-1806.1686768338961
108207431.00000001,-1948.2620300763754,1931.2620300614742
108208231.40000002,-688.6288812629496,968.2288812420879
108209039.80000001,-83.11661096004576,-59.68338905187516
108209771.00000001,914.6388454028895,-1033.6388454177907
108210360.20000002,2170.9686768160145,-1806.1686768338961
108211147.80000001,-2009.0620300733951,1931.2620300614742
108211861.60000001,-1372.8288812510286,968.2288812420879
108212429.80000001,464.88338903995424,-59.68338905187516
108213192.20000002,1062.4388453999093,-1033.6388454177907
108213946.20000002,1425.9686768160147,-1806.1686768338961
108214708.60000002,-1757.862030085316,1931.2620300614742
108215566.60000002,-1307.8288812659298,968.2288812420879
108216639.2,67.48338904889494,-59.68338905187516
108217599.60000001,945.03884540885,-1033.6388454177907
108218499.4,2235.7686768279355,-1806.1686768338961
108219459.6,-1706.8620300555137,1931.2620300614742
108220461.80000001,-1704.0288812540089,968.2288812420879
108221249.4,258.2833890459147,-59.68338905187516
108221963.4,1592.2388454118302,-1033.6388454177907
108222875.60000001,1797.5686768249554,-1806.1686768338961
108223843.60000002,-2520.8620300853163,1931.2620300614742
108224596.80000001,-1278.0288812540089,968.2288812420879
108225358.4,989.2833890459146,-59.68338905187516
108226124.8,1196.838845420771,-1033.6388454177907
108226878.4,1602.7686768279357,-1806.1686768338961
108227658.00000001,-2503.2620300763756,1931.2620300614742
108228501.80000001,-1415.0288812540089,968.2288812420879
108229350.4,895.2833890459146,-59.68338905187516
108230194.00000001,1346.6388454028895,-1033.6388454177907
108231118.60000002,1605.5686768100543,-1806.1686768338961
108231919.2,-2546.4620300644547,1931.2620300614742
108232780.00000001,-1070.228881256989,968.2288812420879
108233696.80000001,551.8833890399542,-59.68338905187516
108234798.60000002,1046.0388453939488,-1033.6388454177907
108235716.0,1592.1686768338961,-1806.1686768338961
108236573.40000002,-1691.6620300823358,1931.2620300614742
108237652.60000001,-1355.8288812510286,968.2288812420879
108238907.60000001,-371.91661095706553,-59.68338905187516
108240059.80000001,1180.8388454058697,-1033.6388454177907
108241246.00000001,2337.1686768189948,-1806.1686768338961
108242404.80000001,-1762.0620300733951,1931.2620300614742
108243230.60000001,-1002.8288812510286,968.2288812420879
108243957.4,372.2833890459147,-59.68338905187516
108244593.80000001,775.8388454058697,-1033.6388454177907
108245437.80000001,1779.3686768219752,-1806.1686768338961
108246105.80000001,-2281.0620300733954,1931.2620300614742
108246978.00000001,-530.2288812569891,968.2288812420879
108247854.80000001,-185.11661096004576,-59.68338905187516
108248876.80000001,853.8388454058697,-1033.6388454177907
108249580.00000001,2021.168676818995,-1806.1686768338961
108250476.40000002,-1541.6620300823358,1931.2620300614742
108251224.40000002,-1260.6288812629496,968.2288812420879
108251967.80000003,183.88338902505308,-59.68338905187516
108252634.60000001,836.03884540885,-1033.6388454177907
108253572.0,1746.1686768338961,-1806.1686768338961
108254372.80000001,-2104.0620300733954,1931.2620300614742
108255229.80000001,-579.0288812540089,968.2288812420879
108256078.4,77.2833890459147,-59.68338905187516
108257072.2,683.4388454148104,-1033.6388454177907
108257782.2,1778.968676830916,-1806.1686768338961
108258612.2,-1374.4620300644544,1931.2620300614742
108259626.4,-1425.6288812480484,968.2288812420879
108260550.0,-244.31661094812483,-59.68338905187516
108261371.60000001,1455.03884540885,-1033.6388454177907
108262433.20000002,1745.9686768160147,-1806.1686768338961
108263430.20000002,-2084.462030079356,1931.2620300614742
108264195.20000002,-686.4288812599693,968.2288812420879
108265064.00000001,226.683389036974,-59.68338905187516
108265877.20000002,774.4388453999093,-1033.6388454177907
108266657.00000001,1866.168676818995,-1806.1686768338961
108267294.4,-1882.6620300674347,1931.2620300614742
108268129.60000001,-721.8288812510286,968.2288812420879
108268822.4,-344.7166109540853,-59.68338905187516
108269527.80000001,1299.8388454058697,-1033.6388454177907
108270173.00000001,1814.168676818995,-1806.1686768338961
108271085.0,-2146.2620300614744,1931.2620300614742
108271854.80000001,-1221.0288812540089,968.2288812420879
108272668.20000002,369.4833890339938,-59.68338905187516
108273464.4,1212.2388454118302,-1033.6388454177907
108274265.2,1788.968676830916,-1806.1686768338961
108275122.60000001,-2202.862030070415,1931.2620300614742
108275984.8,-1347.0288812391077,968.2288812420879
108276936.4,388.2833890459147,-59.68338905187516
108277853.2,1134.4388454148104,-1033.6388454177907
108278810.2,2001.968676830916,-1806.1686768338961
108279732.0,-2228.2620300614744,1931.2620300614742
108280839.0,-1416.228881242088,968.2288812420879
108281804.4,129.2833890459147,-59.68338905187516
108282954.4,1568.2388454118302,-1033.6388454177907
108284077.4,1561.7686768279357,-1806.1686768338961
108285118.80000001,-1865.0620300733951,1931.2620300614742
108285850.4,-812.6288812480484,968.2288812420879
108286680.60000001,460.08338904293447,-59.68338905187516
108287679.20000002,501.43884539990927,-1033.6388454177907
108288758.4,1031.7686768279357,-1806.1686768338961
108289842.2,-1595.4620300644544,1931.2620300614742
108291015.60000001,-581.8288812510286,968.2288812420879
108292146.4,413.2833890459147,-59.68338905187516
108293122.00000001,925.6388454028895,-1033.6388454177907
108293921.6,1522.5686768398566,-1806.1686768338961
108294579.00000001,-1454.2620300763754,1931.2620300614742
108295422.0,-990.2288812420879,968.2288812420879
108296161.80000001,-315.11661096004576,-59.68338905187516
108296756.00000001,1506.6388454028895,-1033.6388454177907
108297475.40000002,1667.7686768130345,-1806.1686768338961
108298418.40000002,-2322.662030082336,1931.2620300614742
108299219.20000002,-1190.4288812599693,968.2288812420879
108300217.60000001,344.08338904293447,-59.68338905187516
108301282.0,984.6388454177907,-1033.6388454177907
108302152.39999999,1982.7686768428368,-1806.1686768338961
108302730.2,-1312.4620300644544,1931.2620300614742
108303183.80000001,-803.0288812540089,968.2288812420879
108303426.6,24.083389057835625,-59.68338905187516
108303465.4,1069.2388454118302,-1033.6388454177907
108303512.60000001,1836.5686768249554,-1806.1686768338961
108303551.4,-1939.6620300674347,1931.2620300614742
108303568.2,-951.4288812450682,968.2288812420879
108303633.0,11.68338905187516,-59.68338905187516
108303706.2,912.4388454148104,-1033.6388454177907
108303779.4,1893.7686768279357,-1806.1686768338961
108303852.60000001,-1874.862030070415,1931.2620300614742
108303934.20000002,-951.4288812599693,968.2288812420879
108303959.4,51.283389045914696,-59.68338905187516
108303984.60000001,1042.03884540885,-1033.6388454177907
