Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_sg_5_2,0.879,1.958,0.758,223.23,40.01,1104.5510292053223,0.088357458660752,1.1811761856079102,0.06442975997924805
cpu_system_time_diff_sg_5_2,0.778,0.249,0.104,36.54,21.64,1104.5510292053223,0.088357458660752,1.1811761856079102,0.06442975997924805
cpu_idle_time_diff_sg_5_2,0.853,2.226,1.154,26.39,15.44,1104.5510292053223,0.088357458660752,1.1811761856079102,0.06442975997924805
memory_sg_5_2,0.905,3.348,1.138,3.3,3.18,1104.5510292053223,0.088357458660752,1.1811761856079102,0.06442975997924805
