,Skewness,Kurtosis
CPU Frequency,-1.2378487802738551,-0.329472088047023
Percent CPU Usage,1.0502813003499252,-0.24205418792529043
CPU User Time,-0.42464786521949915,-0.77695229255907
CPU System Time,-0.028966392850632496,-1.1506846564756328
CPU Idle Time,0.19309420060107757,-0.8261488993255153
Percent Memory Usage,1.3871475313217496,0.5587704646724707
Network Bytes Sent,0.09905616983091274,-1.0220144223136833
Network Bytes Recieved,0.43211098498252776,-0.5915064276534556
Network Upload Rate,72.95856644118214,9808.191978323357
Network Download Rate,8.01248416406222,76.96300242652947
Temperature,0.7608368928244346,-0.33510564827126954
Bit Rate,1.0620904906006945,-0.8267737870279661
