Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.999,0.227,0.182,7.14,6.92,59057.92650079727,0.21764959678862125,0.4461343288421631,0.06310534477233887
cpu_system_time_diff_ema_1,0.998,0.28,0.204,11.53,9.72,59057.92650079727,0.21764959678862125,0.4461343288421631,0.06310534477233887
cpu_idle_time_diff_ema_1,0.979,1.182,1.0,696.88,92.26,59057.92650079727,0.21764959678862125,0.4461343288421631,0.06310534477233887
memory_ema_1,0.58,4.075,2.788,69.28,56.73,59057.92650079727,0.21764959678862125,0.4461343288421631,0.06310534477233887
