Frequency,Pxx_den
0.0,4.4088054483950995e-38
7.234947691328192e-06,1.3851790813939335e-08
1.4469895382656383e-05,2.3761061394964902e-08
2.1704843073984574e-05,2.2028499500051877e-08
2.8939790765312767e-05,2.376458827900893e-09
3.617473845664096e-05,3.5035147983963645e-08
4.340968614796915e-05,1.0977107358910255e-08
5.0644633839297344e-05,1.893304789496608e-08
5.787958153062553e-05,2.084197417242956e-08
6.511452922195372e-05,2.978602747866237e-10
7.234947691328192e-05,2.0039723790891422e-08
7.958442460461011e-05,6.786862732579548e-09
8.68193722959383e-05,4.5779847594406245e-09
9.405431998726649e-05,1.4380826790313683e-08
0.00010128926767859469,1.7880933025064069e-09
0.00010852421536992287,1.7394341450411907e-09
0.00011575916306125107,1.0860279324924979e-08
0.00012299411075257925,8.86552593314755e-10
0.00013022905844390744,1.9640359933515707e-08
0.00013746400613523564,6.684633239311747e-09
0.00014469895382656384,1.0183118051464124e-08
0.00015193390151789203,1.9986468334732364e-08
0.00015916884920922023,2.063464090384363e-09
0.0001664037969005484,2.9231630762483026e-08
0.0001736387445918766,7.80983846828313e-09
0.0001808736922832048,1.3083604703836763e-08
0.00018810863997453298,1.927611002201798e-08
0.00019534358766586118,5.819039891082935e-09
0.00020257853535718938,2.1419351506946864e-08
0.00020981348304851755,2.651367669826111e-09
0.00021704843073984574,4.08176423571468e-08
0.00022428337843117394,3.52743476803602e-07
0.00023151832612250213,7.328634275905202e-09
0.00023875327381383033,5.976219546916576e-08
0.0002459882215051585,2.787964974303741e-08
0.0002532231691964867,1.829456698292699e-08
0.0002604581168878149,2.0852552230012886e-08
0.0002676930645791431,3.2206513904271563e-09
0.0002749280122704713,2.9622571834319276e-09
0.0002821629599617995,6.339800437663416e-09
0.0002893979076531277,2.9028177818521617e-10
0.00029663285534445587,1.5321530346219012e-08
0.00030386780303578407,3.622523696945948e-09
0.00031110275072711226,5.529551154276394e-09
0.00031833769841844046,7.854234557404567e-09
0.0003255726461097686,2.35378640432312e-09
0.0003328075938010968,1.6796530561087466e-08
0.000340042541492425,1.261380361373263e-08
0.0003472774891837532,1.383229446336171e-08
0.0003545124368750814,1.9579981419250208e-08
0.0003617473845664096,2.9744812570306355e-09
