CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0001,1.0,0.0311,0.0,0.7882,0.4489,0.1324,0.9739,0.9909,0.0002
0.0,0.0002,0.071,1.0,0.0979,0.3175,0.1043,0.0217,0.7808,0.6124,0.0003
0.0,0.0002,0.0,0.1214,1.0,0.4597,0.1496,0.2871,0.9204,0.8714,0.0004
0.0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0011,1.0,0.0,0.0,0.002,0.0
0.0,0.0001,0.1301,0.0194,0.1633,0.0105,0.1161,1.0,0.1864,0.1827,0.0002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
