cpu_user_time_diff_MAE,cpu_user_time_diff_RMSE,cpu_user_time_diff_MAPE,cpu_user_time_diff_SMAPE,cpu_system_time_diff_MAE,cpu_system_time_diff_RMSE,cpu_system_time_diff_MAPE,cpu_system_time_diff_SMAPE,cpu_idle_time_diff_MAE,cpu_idle_time_diff_RMSE,cpu_idle_time_diff_MAPE,cpu_idle_time_diff_SMAPE,memory_MAE,memory_RMSE,memory_MAPE,memory_SMAPE
2.867,2.867,114.73,72.91,0.391,0.391,63.87,48.41,2.681,2.681,16.15,17.57,0.65,0.65,7.62,7.34
3.297,3.297,169.57,91.77,0.352,0.352,62.69,47.73,3.394,3.394,19.8,21.97,0.371,0.371,4.39,4.29
3.188,3.188,224.16,105.7,0.225,0.225,41.32,34.24,1.366,1.366,7.68,7.98,0.184,0.184,2.18,2.15
3.288,3.288,212.64,103.06,0.051,0.051,8.32,7.99,0.022,0.022,0.13,0.13,0.083,0.083,0.98,0.98
2.811,2.811,227.05,106.33,0.038,0.038,6.74,6.52,0.052,0.052,0.29,0.29,0.038,0.038,0.45,0.45
0.643,0.643,45.49,37.06,0.016,0.016,2.67,2.64,0.18,0.18,1.02,1.02,0.019,0.019,0.22,0.22
0.763,0.763,63.97,48.47,0.003,0.003,0.48,0.48,0.339,0.339,1.87,1.89,0.009,0.009,0.11,0.11
0.17,0.17,11.78,11.13,0.054,0.054,9.77,9.31,0.212,0.212,1.2,1.19,0.005,0.005,0.05,0.05
0.235,0.235,19.15,17.47,0.044,0.044,8.04,7.73,0.065,0.065,0.36,0.36,0.002,0.002,0.03,0.03
0.044,0.044,3.18,3.23,0.01,0.01,1.61,1.62,0.064,0.064,0.36,0.36,0.001,0.001,0.01,0.01
0.149,0.149,12.82,12.05,0.024,0.024,4.33,4.24,0.38,0.38,2.1,2.13,0.001,0.001,0.01,0.01
0.018,0.018,1.35,1.34,0.019,0.019,3.38,3.44,0.061,0.061,0.34,0.34,0.0,0.0,0.0,0.0
0.219,0.219,18.75,17.14,0.039,0.039,7.34,7.08,0.396,0.396,2.19,2.21,0.0,0.0,0.0,0.0
0.113,0.113,8.16,8.51,0.036,0.036,6.25,6.45,0.098,0.098,0.55,0.55,0.0,0.0,0.0,0.0
0.107,0.107,9.39,8.97,0.092,0.092,20.76,18.81,0.331,0.331,1.83,1.85,0.0,0.0,0.0,0.0
0.119,0.119,8.86,9.27,0.056,0.056,9.69,10.18,0.067,0.067,0.38,0.38,0.0,0.0,0.0,0.0
0.141,0.141,12.27,11.56,0.012,0.012,2.61,2.57,0.248,0.248,1.37,1.38,0.0,0.0,0.0,0.0
0.225,0.225,15.81,17.17,0.173,0.173,24.82,28.33,0.163,0.163,0.92,0.92,0.0,0.0,0.0,0.0
0.087,0.087,7.45,7.18,0.013,0.013,2.58,2.61,0.009,0.009,0.05,0.05,0.0,0.0,0.0,0.0
0.217,0.217,15.4,16.69,0.16,0.16,26.54,30.6,0.077,0.077,0.44,0.43,0.0,0.0,0.0,0.0
0.027,0.027,2.34,2.32,0.038,0.038,6.6,6.82,0.224,0.224,1.24,1.25,0.0,0.0,0.0,0.0
0.265,0.265,25.74,22.8,0.096,0.096,19.68,17.91,0.331,0.331,1.82,1.83,0.0,0.0,0.0,0.0
0.141,0.141,10.38,10.94,0.029,0.029,5.2,5.07,0.063,0.063,0.35,0.35,0.0,0.0,0.0,0.0
0.004,0.004,0.33,0.33,0.021,0.021,3.66,3.73,0.084,0.084,0.46,0.46,0.0,0.0,0.0,0.0
0.181,0.181,12.83,13.71,0.012,0.012,2.13,2.15,0.214,0.214,1.2,1.2,0.0,0.0,0.0,0.0
0.281,0.281,17.98,19.76,0.1,0.1,15.83,17.19,0.379,0.379,2.17,2.14,0.0,0.0,0.0,0.0
0.011,0.011,0.87,0.87,0.133,0.133,19.73,21.89,0.014,0.014,0.08,0.08,0.0,0.0,0.0,0.0
0.121,0.121,8.65,8.29,0.048,0.048,7.98,8.31,0.028,0.028,0.16,0.16,0.0,0.0,0.0,0.0
0.32,0.32,27.65,24.29,0.217,0.217,50.61,40.39,0.307,0.307,1.7,1.72,0.0,0.0,0.0,0.0
0.182,0.182,12.59,13.44,0.038,0.038,5.79,5.97,0.159,0.159,0.9,0.89,0.0,0.0,0.0,0.0
0.021,0.021,1.69,1.67,0.057,0.057,9.88,9.42,0.023,0.023,0.13,0.13,0.0,0.0,0.0,0.0
0.092,0.092,6.69,6.92,0.029,0.029,4.82,4.7,0.035,0.035,0.2,0.2,0.0,0.0,0.0,0.0
0.102,0.102,8.57,8.22,0.15,0.15,32.72,28.12,0.136,0.136,0.75,0.76,0.0,0.0,0.0,0.0
0.075,0.075,5.17,5.3,0.094,0.094,13.79,14.82,0.176,0.176,0.99,0.99,0.0,0.0,0.0,0.0
0.095,0.095,7.96,7.66,0.017,0.017,3.18,3.23,0.013,0.013,0.07,0.07,0.0,0.0,0.0,0.0
0.107,0.107,7.81,8.12,0.002,0.002,0.34,0.34,0.06,0.06,0.34,0.34,0.0,0.0,0.0,0.0
0.225,0.225,20.19,18.33,0.082,0.082,18.88,17.25,0.227,0.227,1.25,1.26,0.0,0.0,0.0,0.0
0.15,0.15,10.65,11.25,0.068,0.068,10.64,11.24,0.198,0.198,1.11,1.11,0.0,0.0,0.0,0.0
0.105,0.105,8.81,8.44,0.176,0.176,25.78,29.6,0.086,0.086,0.47,0.47,0.0,0.0,0.0,0.0
0.139,0.139,9.83,10.34,0.036,0.036,6.29,6.5,0.007,0.007,0.04,0.04,0.0,0.0,0.0,0.0
0.046,0.046,3.95,4.03,0.082,0.082,18.55,16.97,0.023,0.023,0.13,0.13,0.0,0.0,0.0,0.0
0.004,0.004,0.31,0.31,0.044,0.044,7.77,8.08,0.017,0.017,0.09,0.09,0.0,0.0,0.0,0.0
0.054,0.054,4.43,4.34,0.05,0.05,9.18,9.62,0.015,0.015,0.08,0.08,0.0,0.0,0.0,0.0
0.185,0.185,12.96,13.85,0.063,0.063,10.95,11.59,0.012,0.012,0.07,0.07,0.0,0.0,0.0,0.0
0.04,0.04,3.38,3.32,0.104,0.104,23.52,21.05,0.003,0.003,0.02,0.02,0.0,0.0,0.0,0.0
0.06,0.06,4.39,4.49,0.03,0.03,5.64,5.49,0.025,0.025,0.14,0.14,0.0,0.0,0.0,0.0
0.163,0.163,14.44,13.47,0.085,0.085,20.84,18.87,0.124,0.124,0.69,0.69,0.0,0.0,0.0,0.0
0.008,0.008,0.57,0.58,0.198,0.198,29.65,34.81,0.135,0.135,0.76,0.76,0.0,0.0,0.0,0.0
0.149,0.149,12.48,11.75,0.194,0.194,29.81,35.02,0.04,0.04,0.22,0.22,0.0,0.0,0.0,0.0
0.032,0.032,2.34,2.31,0.189,0.189,28.62,33.4,0.018,0.018,0.1,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.03,0.03,0.051,0.051,10.58,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024,0.024,1.75,1.73,0.005,0.005,0.88,0.89,0.142,0.142,0.8,0.8,0.0,0.0,0.0,0.0
0.208,0.208,13.84,14.87,0.043,0.043,7.34,7.08,0.54,0.54,3.08,3.03,0.0,0.0,0.0,0.0
0.002,0.002,0.16,0.16,0.142,0.142,31.73,27.39,0.272,0.272,1.51,1.52,0.0,0.0,0.0,0.0
0.066,0.066,4.37,4.47,0.101,0.101,15.46,16.76,0.036,0.036,0.21,0.21,0.0,0.0,0.0,0.0
0.01,0.01,0.76,0.76,0.184,0.184,27.75,32.22,0.16,0.16,0.88,0.89,0.0,0.0,0.0,0.0
0.137,0.137,9.05,9.47,0.208,0.208,29.27,34.29,0.033,0.033,0.19,0.19,0.0,0.0,0.0,0.0
0.122,0.122,10.19,9.7,0.016,0.016,3.19,3.24,0.004,0.004,0.02,0.02,0.0,0.0,0.0,0.0
0.016,0.016,1.15,1.15,0.042,0.042,8.18,7.86,0.164,0.164,0.93,0.92,0.0,0.0,0.0,0.0
0.062,0.062,5.38,5.24,0.227,0.227,58.49,45.25,0.023,0.023,0.13,0.13,0.0,0.0,0.0,0.0
0.08,0.08,5.71,5.55,0.257,0.257,59.05,45.59,0.012,0.012,0.07,0.07,0.0,0.0,0.0,0.0
0.277,0.277,17.8,19.54,0.048,0.048,8.85,8.47,0.568,0.568,3.25,3.2,0.05,0.05,0.59,0.59
0.317,0.317,19.51,21.62,0.219,0.219,30.95,36.62,0.338,0.338,1.94,1.93,0.025,0.025,0.3,0.3
0.26,0.26,15.35,16.62,0.315,0.315,39.38,49.03,0.299,0.299,1.73,1.71,0.087,0.087,1.04,1.03
0.168,0.168,12.35,11.63,0.026,0.026,4.25,4.35,0.401,0.401,2.24,2.27,0.042,0.042,0.5,0.5
0.111,0.111,7.32,7.06,0.052,0.052,7.28,7.55,0.248,0.248,1.41,1.42,0.065,0.065,0.77,0.77
0.408,0.408,33.18,28.46,0.04,0.04,5.31,5.45,0.609,0.609,3.38,3.43,0.029,0.029,0.34,0.34
0.086,0.086,6.13,5.94,0.091,0.091,12.79,13.66,0.099,0.099,0.56,0.56,0.013,0.013,0.16,0.16
0.111,0.111,9.62,9.18,0.166,0.166,33.67,28.82,0.157,0.157,0.87,0.87,0.006,0.006,0.07,0.07
0.112,0.112,8.42,8.08,0.227,0.227,45.74,37.23,0.046,0.046,0.26,0.26,0.003,0.003,0.04,0.04
0.234,0.234,21.62,19.51,0.281,0.281,68.92,51.26,0.286,0.286,1.58,1.59,0.001,0.001,0.02,0.02
