,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
0,[5.119999885559082],[4.970761299133301],0.14923858642578125,0.14923858642578125,[1.0199999809265137],[0.9336672425270081],0.08633273839950562,0.08633273839950562,[13.819998741149902],[14.120393753051758],0.30039501190185547,0.30039501190185547,[16.899999618530273],[17.318405151367188],0.41840553283691406,0.41840553283691406
1,[5.199999809265137],[4.904034614562988],0.29596519470214844,0.29596519470214844,[0.9700000286102295],[0.9144262671470642],0.05557376146316528,0.05557376146316528,[13.829999923706055],[14.15319538116455],0.3231954574584961,0.3231954574584961,[16.700000762939453],[17.778779983520508],1.0787792205810547,1.0787792205810547
2,[5.139999866485596],[5.281957149505615],0.14195728302001953,0.14195728302001953,[1.1100000143051147],[0.9668034911155701],0.14319652318954468,0.14319652318954468,[13.729999542236328],[13.50949764251709],0.22050189971923828,0.22050189971923828,[16.5],[19.140897750854492],2.640897750854492,2.640897750854492
3,[5.119999885559082],[5.404892921447754],0.2848930358886719,0.2848930358886719,[1.1100000143051147],[0.9420225620269775],0.1679774522781372,0.1679774522781372,[13.750000953674316],[13.157804489135742],0.5921964645385742,0.5921964645385742,[16.399999618530273],[20.00454330444336],3.604543685913086,3.604543685913086
4,[5.190000534057617],[5.492722034454346],0.3027215003967285,0.3027215003967285,[1.0499999523162842],[0.8996613025665283],0.15033864974975586,0.15033864974975586,[13.750000953674316],[13.311676979064941],0.438323974609375,0.438323974609375,[15.899999618530273],[19.400997161865234],3.500997543334961,3.500997543334961
5,[5.119999885559082],[4.991547107696533],0.12845277786254883,0.12845277786254883,[1.1100000143051147],[0.9285905361175537],0.18140947818756104,0.18140947818756104,[13.760000228881836],[14.108709335327148],0.3487091064453125,0.3487091064453125,[16.399999618530273],[17.62166404724121],1.2216644287109375,1.2216644287109375
6,[5.159999847412109],[4.975783824920654],0.18421602249145508,0.18421602249145508,[1.100000023841858],[0.9300907850265503],0.16990923881530762,0.16990923881530762,[13.739999771118164],[14.179328918457031],0.4393291473388672,0.4393291473388672,[15.699999809265137],[17.737552642822266],2.037552833557129,2.037552833557129
7,[5.119999885559082],[5.019832134246826],0.10016775131225586,0.10016775131225586,[1.090000033378601],[0.9344016909599304],0.15559834241867065,0.15559834241867065,[13.750000953674316],[14.120603561401367],0.3706026077270508,0.3706026077270508,[16.299999237060547],[17.64225959777832],1.3422603607177734,1.3422603607177734
8,[5.230000019073486],[4.995556354522705],0.23444366455078125,0.23444366455078125,[1.0199999809265137],[0.9239402413368225],0.09605973958969116,0.09605973958969116,[13.750000953674316],[14.13838005065918],0.3883790969848633,0.3883790969848633,[15.399999618530273],[17.684314727783203],2.2843151092529297,2.2843151092529297
9,[5.210000038146973],[5.039657115936279],0.17034292221069336,0.17034292221069336,[1.059999942779541],[0.9200024008750916],0.13999754190444946,0.13999754190444946,[13.770001411437988],[14.078313827514648],0.30831241607666016,0.30831241607666016,[15.800000190734863],[17.265823364257812],1.4658231735229492,1.4658231735229492
