Trend,Residual,Seasonal
4709121447.8,-46802.729839099695,46807.92983890896
4709122010.8,-25124.78497905306,25013.984978862325
4709122604.4,-122.68136106109046,-151.71863855743982
4709123210.0,23128.854011755695,-22990.854011755695
4709123812.2,48858.14216764888,-48679.34216745815
4709124383.4,-46710.32983852749,46807.92983890896
4709124837.0,-24939.984978862325,25013.984978862325
4709125217.0,120.71863855743982,-151.71863855743982
4709125688.6,22918.254011374225,-22990.854011755695
4709126172.200001,48398.14216669521,-48679.34216745815
4709126643.8,-46612.729839099695,46807.92983890896
4709127161.8,-24846.78497905306,25013.984978862325
4709127710.8,-15.081361633295046,-151.71863855743982
4709128230.8,22966.05401156496,-22990.854011755695
4709128750.8,48564.54216726741,-48679.34216745815
4709129461.200001,-46830.1298396719,46807.92983890896
4709130095.4,-25180.384978480855,25013.984978862325
4709130741.6,506.1186381759701,-151.71863855743982
4709131270.200001,23097.654010992756,-22990.854011755695
4709131798.8,48747.54216726741,-48679.34216745815
4709132180.0,-46905.92983890896,46807.92983890896
4709132633.6,-25075.584979243795,25013.984978862325
4709133075.200001,78.51863779450036,-151.71863855743982
4709133606.200001,23029.654010992756,-22990.854011755695
4709134101.400001,48652.94216688594,-48679.34216745815
4709134733.2,-46804.129838718225,46807.92983890896
4709135349.6,-25315.584979243795,25013.984978862325
4709136008.6,304.1186381759701,-151.71863855743982
4709136621.200001,23096.654010992756,-22990.854011755695
4709137226.6,48822.74216707668,-48679.34216745815
4709137710.4,-46718.32983852749,46807.92983890896
4709138179.0,-25117.984978862325,25013.984978862325
4709138562.0,169.71863855743982,-151.71863855743982
4709139060.6,23000.254011374225,-22990.854011755695
4709139614.2,48350.14216764888,-48679.34216745815
4709140156.2,-46671.129838718225,46807.92983890896
4709140686.2,-24857.18497867159,25013.984978862325
4709141333.8,107.91863836670495,-151.71863855743982
4709141877.8,22833.05401156496,-22990.854011755695
4709142483.4,48718.94216783962,-48679.34216745815
4709143042.599999,-46837.529838336755,46807.92983890896
4709143613.8,-24756.78497905306,25013.984978862325
4709144110.4,127.31863893890954,-151.71863855743982
4709144564.0,23002.854011755695,-22990.854011755695
4709144932.0,48753.34216745815,-48679.34216745815
4709145428.6,-46955.52983929043,46807.92983890896
4709145870.200001,-25173.184979625265,25013.984978862325
4709146358.200001,362.51863779450036,-151.71863855743982
4709146834.2,22940.65401194643,-22990.854011755695
4709147427.8,48697.54216726741,-48679.34216745815
4709147935.8,-47082.729839099695,46807.92983890896
4709148541.400001,-24876.38497943453,25013.984978862325
4709149100.6,160.1186381759701,-151.71863855743982
4709149714.8,23088.05401156496,-22990.854011755695
4709150168.400001,48752.94216688594,-48679.34216745815
4709150622.0,-46697.92983890896,46807.92983890896
4709151033.0,-25099.984978862325,25013.984978862325
