CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0044,0.0594,0.0051,0.0,0.132,0.0707,0.0,0.0,0.0,0.0
0.4698,0.0015,1.0,0.0,0.0031,0.0,0.232,0.0,0.7852,0.0,0.0293,0.015
0.9891,0.0473,0.0,1.0,0.0,0.0,0.1401,0.0,0.6287,0.0001,0.4771,0.0596
0.2385,0.0278,0.0285,0.0,1.0,0.0,0.0323,0.0,0.9721,0.0,0.1231,0.0482
0.0,0.0,0.1584,0.2203,0.1303,1.0,0.2833,0.2237,0.0,0.0,0.0,0.0
0.7338,0.0051,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4544,0.0039
0.843,0.0465,0.0004,0.0003,0.0002,0.0,0.1471,1.0,0.1548,0.0001,0.5382,0.0372
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0008,0.0,0.0005,0.0,0.0,0.0004,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0037,0.0,0.0,0.0218,0.0,0.0,0.0,0.0,1.0
