bin_edges,hist_data,kde_values
9.363041276980974e-06,1,20039.570383764312
9.42344799489698e-06,3,19708.36368014291
9.483854712812986e-06,1,19381.104376852796
9.544261430728992e-06,7,19057.801275113903
9.604668148645e-06,8,18738.46147737542
9.665074866561006e-06,4,18423.09041571095
9.725481584477011e-06,5,18111.691880813374
9.785888302393018e-06,7,17804.268051223684
9.846295020309025e-06,4,17500.819523255763
9.90670173822503e-06,5,17201.345341185923
9.967108456141037e-06,3,16905.84302797157
1.0027515174057044e-05,1,16614.308616019436
1.0087921891973049e-05,6,16326.7366787195
1.0148328609889056e-05,10,16043.120361874067
1.0208735327805063e-05,5,15763.45141566632
1.0269142045721068e-05,0,15487.720226580557
1.0329548763637075e-05,6,15215.915849857547
1.0389955481553081e-05,5,14948.026041946692
1.0450362199469087e-05,3,14684.037292991368
1.0510768917385093e-05,4,14423.93485973138
1.05711756353011e-05,4,14167.702798222308
1.0631582353217105e-05,7,13915.32399685501
1.0691989071133112e-05,5,13666.780209157703
1.0752395789049119e-05,2,13422.052086866548
1.0812802506965124e-05,2,13181.11921288027
1.0873209224881131e-05,4,12943.96013416295
1.0933615942797138e-05,5,12710.55239458976
1.0994022660713143e-05,15,12480.87256778794
1.105442937862915e-05,3,12254.896289808383
1.1114836096545157e-05,2,12032.598291646584
1.1175242814461162e-05,3,11813.952431807747
1.1235649532377169e-05,2,11598.931728377742
1.1296056250293176e-05,2,11387.508391278423
1.135646296820918e-05,1,11179.653854012113
1.1416869686125188e-05,4,10975.338805328403
1.1477276404041194e-05,3,10774.533220685074
1.15376831219572e-05,7,10577.206393343835
1.1598089839873206e-05,3,10383.32696525685
1.1658496557789213e-05,2,10192.862957645015
1.1718903275705218e-05,9,10005.781801228592
1.1779309993621225e-05,2,9822.050366215532
1.1839716711537232e-05,7,9641.634991899578
1.1900123429453237e-05,6,9464.501515880831
1.1960530147369244e-05,2,9290.615302997747
1.202093686528525e-05,7,9119.941273788716
1.2081343583201256e-05,9,8952.443932653592
1.2141750301117263e-05,5,8788.08739553085
1.220215701903327e-05,4,8626.83541728646
1.2262563736949275e-05,10,8468.651418466085
1.2322970454865282e-05,5,8313.498511863681
1.2383377172781288e-05,6,8161.339528499643
1.2443783890697294e-05,0,8012.137043162136
1.25041906086133e-05,2,7865.853399555031
1.2564597326529307e-05,9,7722.450734889779
1.2625004044445312e-05,13,7581.891004115473
1.268541076236132e-05,5,7444.136003608833
1.2745817480277326e-05,9,7309.147394358064
1.2806224198193331e-05,16,7176.886724726948
1.2866630916109338e-05,6,7047.315452701565
1.2927037634025345e-05,9,6920.394967581625
1.298744435194135e-05,15,6796.086611337222
1.3047851069857357e-05,5,6674.35169922474
1.3108257787773364e-05,9,6555.151540174706
1.3168664505689369e-05,8,6438.447456414082
1.3229071223605376e-05,3,6324.200802767613
1.3289477941521383e-05,14,6212.372985382135
1.3349884659437388e-05,9,6102.925479926151
1.3410291377353395e-05,3,5995.8198493500995
1.3470698095269401e-05,23,5891.0177610407545
1.3531104813185407e-05,13,5788.481003562763
1.3591511531101413e-05,4,5688.171502854454
1.365191824901742e-05,22,5590.051337890841
1.3712324966933427e-05,12,5494.082755946437
1.3772731684849432e-05,9,5400.228187214039
1.3833138402765439e-05,12,5308.450259068757
1.3893545120681446e-05,17,5218.71180973036
1.3953951838597451e-05,7,5130.975901520429
1.4014358556513458e-05,29,5045.20583356944
1.4074765274429465e-05,16,4961.365154065478
1.413517199234547e-05,7,4879.417672062041
1.4195578710261477e-05,13,4799.327468736974
