Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff,0.836,2.678,1.11,53.35,24.61,0,0,0,0
cpu_system_time_diff,0.353,0.418,0.196,73.72,36.8,0,0,0,0
cpu_idle_time_diff,0.804,2.93,1.227,14178019868100.77,24.83,0,0,0,0
memory,0.6,3.198,1.563,7.74,8.01,0,0,0,0
