Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff,0.958,1.215,0.628,38.87,42.65,708.1399967670441,0.2119162089256449,2.843332290649414,0.12698030471801758
cpu_system_time_diff,0.827,0.176,0.098,32.53,32.63,708.1399967670441,0.2119162089256449,2.843332290649414,0.12698030471801758
cpu_idle_time_diff,0.962,1.181,0.566,10.24,10.52,708.1399967670441,0.2119162089256449,2.843332290649414,0.12698030471801758
memory,0.954,1.719,0.822,2.5,2.48,708.1399967670441,0.2119162089256449,2.843332290649414,0.12698030471801758
