State,Hurst_RS,CI_RS,Hurst_Variance,CI_Variance,Hurst_Periodogram,Noise_Level
entire,1.9644704111559624e-06,"(-11.877418723550694, 11.877422652491514)",1.0000019644704112,"(-10.877418723550694, 12.877422652491514)",1.9023980170770136,53873.73260062881
entire,1.9644704111559624e-06,"(-11.877418723550694, 11.877422652491514)",1.0000019644704112,"(-10.877418723550694, 12.877422652491514)",1.9023980170770136,53873.73260062881
Mining,-0.00030362216727916624,"(-11.68640569713595, 11.685798452801393)",0.9996963778327238,"(-10.686405697135944, 12.685798452801391)",1.9023391434994703,101221.36362567858
AR,-0.00025631523718646954,"(-11.763959445495937, 11.763446815021565)",0.9997436847628135,"(-10.763959445495937, 12.763446815021565)",1.9023503095524052,138891.69391378932
Stream,-0.0005829221821971401,"(-11.481824295682717, 11.480658451318323)",0.9994170778178029,"(-10.481824295682717, 12.480658451318323)",1.9023554675053875,125380.83945224862
Idle,-3.095263508913978e-05,"(-11.685925948320621, 11.685864043050442)",0.9999690473649109,"(-10.685925948320621, 12.685864043050442)",1.9023082300049232,112678.92157105531
Gaming,-0.026879012882387556,"(-10.443718912750525, 10.38996088698575)",0.9731209871176124,"(-9.443718912750525, 11.38996088698575)",1.9019721866483295,219408.31318567405
