Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_sma_2,0.973,1.223,0.477,57.73,41.44,429.02467942237854,0.10186924893547444,2.156151056289673,0.0601346492767334
cpu_system_time_diff_sma_2,0.917,0.167,0.084,994.68,72.44,429.02467942237854,0.10186924893547444,2.156151056289673,0.0601346492767334
cpu_idle_time_diff_sma_2,0.969,1.345,0.539,15.4,13.01,429.02467942237854,0.10186924893547444,2.156151056289673,0.0601346492767334
memory_sma_2,0.95,2.374,1.616,4.89,4.84,429.02467942237854,0.10186924893547444,2.156151056289673,0.0601346492767334
