Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_sg_5_2,0.876,2.175,0.826,185.85,34.4,1551.2832357883453,0.09285236816939368,1.0645854473114014,0.07776594161987305
cpu_system_time_diff_sg_5_2,0.721,0.233,0.101,40.75,21.8,1551.2832357883453,0.09285236816939368,1.0645854473114014,0.07776594161987305
cpu_idle_time_diff_sg_5_2,0.816,2.541,1.16,16.34,12.21,1551.2832357883453,0.09285236816939368,1.0645854473114014,0.07776594161987305
memory_sg_5_2,0.912,0.731,0.294,2.47,2.45,1551.2832357883453,0.09285236816939368,1.0645854473114014,0.07776594161987305
