,Skewness,Kurtosis
CPU Frequency,-1.2551881140866763,-0.315943789024693
Percent CPU Usage,1.6024586016879003,2.8429197789174383
CPU User Time,0.010747130249776674,-1.7919331280285868
CPU System Time,-0.014359749636434018,-1.6551669777887252
CPU Idle Time,-8.211718608064269e-05,-1.9786431439658119
Percent Memory Usage,1.4227543896843764,0.42613524971513295
Network Bytes Sent,-0.015567426597143587,-1.8934329846292077
Network Bytes Recieved,-0.03169120171458003,-1.7485939087090798
Network Upload Rate,54.3208420780416,4326.626181914577
Network Download Rate,8.03148467397084,76.83329771264475
Temperature,0.9524538854155498,1.3820961729194545
Bit Rate,1.5373560918888929,0.38401314285196975
