Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.951,1.373,0.482,41.54,18.26,0.0006501674652099609,0.06225531792901178,3.6581647396087646,0.05951571464538574
cpu_system_time_diff_ema_1,0.864,0.208,0.103,20.68,20.42,0.0006501674652099609,0.06260010087675168,3.7229301929473877,0.059467315673828125
cpu_idle_time_diff_ema_1,0.938,1.59,0.579,14.35,10.0,0.0006501674652099609,0.062263385703880396,3.7114124298095703,0.05962991714477539
memory_ema_1,0.836,4.803,1.921,5.97,5.73,0.0006501674652099609,0.06233058560504661,3.712306261062622,0.05959463119506836
