,Skewness,Kurtosis
CPU Frequency,-1.5106771082999177,0.48090581575685754
Percent CPU Usage,0.20174423556585974,-1.2748428010840847
CPU User Time,-0.23047831599755,-1.370121555307542
CPU System Time,-0.16223678918620715,-1.4508078318118371
CPU Idle Time,-0.18352237623707415,-1.7475904665193842
Percent Memory Usage,1.4052542303395474,0.46794488198338513
Network Bytes Sent,-0.04932723674115275,-1.895799460311651
Network Bytes Recieved,-0.2503865648721306,-1.456049933053067
Network Upload Rate,191.9204889139198,49442.12661438471
Network Download Rate,9.231083795901721,120.48163606731134
Temperature,-0.27337291895179633,-0.8369577735161511
