Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_sma_2,0.952,1.477,0.62,27.81,30.72,272.4632227420807,0.09251470669813945,1.2561497688293457,0.07975530624389648
cpu_system_time_diff_sma_2,0.838,0.195,0.113,47.41,27.72,272.4632227420807,0.09251470669813945,1.2561497688293457,0.07975530624389648
cpu_idle_time_diff_sma_2,0.956,1.514,0.498,13.16,11.16,272.4632227420807,0.09251470669813945,1.2561497688293457,0.07975530624389648
memory_sma_2,0.942,0.837,0.412,2.45,2.45,272.4632227420807,0.09251470669813945,1.2561497688293457,0.07975530624389648
