ACF,PACF
1.0,1.0
0.9999613718765802,0.9999613718765801
0.9999226817470553,-0.0008219330550751013
0.9998839740342624,-0.00024630292123696464
0.9998452515669839,-0.00020997517114333667
0.9998065176211758,-0.00016758524398845847
0.9997677749230721,-0.00013233546580251868
0.999729026099637,-9.837577461907497e-05
0.999690273461097,-6.852553732658021e-05
0.9996515194535154,-3.692032659650958e-05
0.9996127648591623,-2.6861260532971362e-05
0.9995740098184559,-2.508359289066863e-05
0.9995352544028792,-2.4182182426686807e-05
0.9994964987351261,-2.2610570189110156e-05
0.9994577428699234,-2.191493619140574e-05
0.9994189866981981,-2.3334864537575237e-05
0.9993802301780328,-2.387958291834021e-05
0.9993414735268191,-2.106657834474333e-05
0.9993027165649531,-2.339650929545002e-05
0.9992639593626027,-2.2486187663280157e-05
0.9992252018404073,-2.351520995010677e-05
0.9991864440883478,-2.2349487311184612e-05
0.9991476863873512,-1.8715102448823557e-05
0.9991089284917691,-2.1901228651214403e-05
0.9990701704553462,-2.1202780224327343e-05
0.9990314123673154,-2.00493398832716e-05
0.9989926541799368,-2.066984975810834e-05
0.9989538959117789,-2.042968498528229e-05
0.9989151374498966,-2.189278616342867e-05
0.998876379085776,-1.81180844884923e-05
0.9988376205842566,-2.116785008240494e-05
0.9987988621756111,-1.8184009691808873e-05
0.9987601036242338,-2.1238530810289985e-05
0.9987213449428876,-2.1069902184350644e-05
0.9986825862346053,-1.973639727660453e-05
0.998643827389761,-2.1157524166651345e-05
0.9986050684409773,-2.0733696513377345e-05
0.9985663093170568,-2.165593183439422e-05
0.9985275501635555,-1.9770605562447116e-05
0.9984887909313106,-2.0409860851856217e-05
0.9984500315289588,-2.1592340556304476e-05
0.9984112720691765,-2.0132547116241133e-05
0.9983725124834951,-2.1021093154944043e-05
0.9983337526756124,-2.2266967019352143e-05
0.9982949925521669,-2.347383172321016e-05
0.9982562321296755,-2.325791823886443e-05
0.9982174716239263,-2.046445691755019e-05
0.9981787109404346,-2.1691534221619832e-05
0.9981399500659243,-2.1862568816290427e-05
0.9981011890533837,-2.1176937127141385e-05
0.9980624280258414,-1.958594389916706e-05
0.9980236668836326,-2.0879350937041567e-05
0.9979849057057387,-1.985640145974915e-05
0.9979461445158276,-1.9552324703953543e-05
0.9979073831662538,-2.1464870863246774e-05
0.9978686219066621,-1.823136406538815e-05
0.9978298605058956,-2.1228615615078534e-05
0.9977910989419411,-2.1510211644572472e-05
0.9977523373304952,-2.0012107298074645e-05
0.9977135755911839,-2.1054617283562073e-05
0.9976748137900132,-2.0199203266362676e-05
0.9976360521223575,-1.767171450344811e-05
0.9975972903537613,-2.0711036390359993e-05
0.9975585286194558,-1.8957423136218695e-05
0.9975197668318444,-2.0094194424154403e-05
0.9974810049689236,-2.037815938935172e-05
0.9974422429469038,-2.1462590289661598e-05
0.9974034809200657,-1.946399343363739e-05
0.9973647187261553,-2.1567083060703208e-05
0.9973259564292357,-2.0735149365811756e-05
0.9972871939995188,-2.1121877485641227e-05
0.9972484316463128,-1.8412130653730106e-05
0.9972096691196258,-2.165257035554249e-05
0.9971709066305419,-1.8916552447496735e-05
0.9971321440721677,-2.0304380729291848e-05
0.9970933814953047,-1.964572517133219e-05
0.9970546189546986,-1.8938503999926768e-05
0.9970158564467535,-1.89868324669846e-05
0.9969770937753605,-2.1526108226611728e-05
0.9969383311155812,-1.925675901235757e-05
0.9968995683612435,-2.0634255481565888e-05
0.9968608055625593,-1.9982751555994436e-05
0.9968220426522354,-2.0854894337691124e-05
0.99678327986856,-1.776938838381496e-05
0.9967445170402119,-1.999188728732575e-05
0.9967057540951261,-2.092261310561772e-05
0.9966669912848639,-1.7665271333476254e-05
0.9966282283171081,-2.1454083943970585e-05
0.9965894653430738,-1.9492153460243386e-05
0.9965507024337625,-1.8575791852187598e-05
0.9965119394984573,-1.975199982954272e-05
0.9964731764660354,-2.0671635987480215e-05
0.9964344132749351,-2.146737212157199e-05
0.996395649804307,-2.3030401980569902e-05
0.9963568864303131,-1.8158491645719268e-05
0.9963181230293088,-1.9765774644106406e-05
