,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
0,[5.28000020980835],[5.442731857299805],0.16273164749145508,0.16273164749145508,[1.0099999904632568],[1.0461816787719727],0.03618168830871582,0.03618168830871582,[13.430000305175781],[12.024560928344727],1.4054393768310547,1.4054393768310547,[14.800000190734863],[13.27774715423584],1.5222530364990234,1.5222530364990234
1,[5.340000152587891],[5.729679584503174],0.3896794319152832,0.3896794319152832,[1.0],[0.9612008929252625],0.03879910707473755,0.03879910707473755,[13.35999870300293],[11.755962371826172],1.6040363311767578,1.6040363311767578,[14.800000190734863],[13.701589584350586],1.0984106063842773,1.0984106063842773
2,[5.25],[5.948338985443115],0.6983389854431152,0.6983389854431152,[1.090000033378601],[0.9649873971939087],0.12501263618469238,0.12501263618469238,[13.470000267028809],[11.632826805114746],1.8371734619140625,1.8371734619140625,[14.800000190734863],[13.655237197875977],1.1447629928588867,1.1447629928588867
3,[5.289999961853027],[5.831798553466797],0.5417985916137695,0.5417985916137695,[1.090000033378601],[1.006052851676941],0.08394718170166016,0.08394718170166016,[13.4399995803833],[11.749361991882324],1.6906375885009766,1.6906375885009766,[14.800000190734863],[13.687305450439453],1.1126947402954102,1.1126947402954102
4,[5.53000020980835],[5.466442108154297],0.06355810165405273,0.06355810165405273,[1.090000033378601],[1.0458651781082153],0.04413485527038574,0.04413485527038574,[13.430000305175781],[11.99709415435791],1.432906150817871,1.432906150817871,[14.800000190734863],[13.288015365600586],1.5119848251342773,1.5119848251342773
5,[5.289999961853027],[5.886093616485596],0.5960936546325684,0.5960936546325684,[1.2599999904632568],[1.0036661624908447],0.2563338279724121,0.2563338279724121,[13.379999160766602],[11.665159225463867],1.7148399353027344,1.7148399353027344,[14.800000190734863],[13.647037506103516],1.1529626846313477,1.1529626846313477
6,[5.300000190734863],[5.377215385437012],0.07721519470214844,0.07721519470214844,[1.149999976158142],[1.1242072582244873],0.025792717933654785,0.025792717933654785,[13.399999618530273],[12.089859008789062],1.310140609741211,1.310140609741211,[14.800000190734863],[13.374726295471191],1.4252738952636719,1.4252738952636719
7,[5.28000020980835],[5.683525085449219],0.40352487564086914,0.40352487564086914,[1.100000023841858],[1.0225688219070435],0.07743120193481445,0.07743120193481445,[13.430000305175781],[11.756476402282715],1.6735239028930664,1.6735239028930664,[14.800000190734863],[13.750309944152832],1.0496902465820312,1.0496902465820312
8,[5.309999942779541],[5.86022424697876],0.5502243041992188,0.5502243041992188,[1.0399999618530273],[1.0078599452972412],0.03214001655578613,0.03214001655578613,[13.34000015258789],[11.704761505126953],1.6352386474609375,1.6352386474609375,[14.800000190734863],[13.677433967590332],1.1225662231445312,1.1225662231445312
9,[5.179999828338623],[5.943403244018555],0.7634034156799316,0.7634034156799316,[0.9200000166893005],[0.982073962688446],0.06207394599914551,0.06207394599914551,[13.480000495910645],[11.591997146606445],1.8880033493041992,1.8880033493041992,[14.800000190734863],[13.65236759185791],1.1476325988769531,1.1476325988769531
