,Skewness,Kurtosis
CPU Frequency,-1.429665185051399,0.15044997746730182
Percent CPU Usage,0.8024341265101594,-0.7764654311353594
CPU User Time,0.03588413133562776,-1.684369418516787
CPU System Time,0.006434228004934406,-1.7555162322340199
CPU Idle Time,-0.002234274420818483,-1.964037387169108
Percent Memory Usage,1.5013922249663396,0.5648276683107696
Network Bytes Sent,1.5910093717238436,2.876895063764224
Network Bytes Recieved,0.006793690282707933,-1.696653162191902
Network Upload Rate,23.066517949889114,553.0694439311095
Network Download Rate,7.976304393451605,75.42620251850384
Temperature,0.6033513554573109,-0.8001550703345464
Bit Rate,0.8294600202073842,-1.2996883527224308
