CPU Frequency,Percent CPU Usage,CPU User Time,CPU System Time,CPU Idle Time,Percent Memory Usage,Network Bytes Sent,Network Bytes Recieved,Network Upload Rate,Network Download Rate,Temperature,Bit Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0108,0.2458,0.0,0.0,0.0265,0.1535,0.0,0.0,0.0,0.0
0.403,0.0,1.0,0.0,0.0044,0.0,0.0102,0.0058,0.6854,0.3419,0.0056,0.0003
0.8326,0.0005,0.0,1.0,0.0,0.0,0.5904,0.1678,0.6026,0.3431,0.048,0.0006
0.6112,0.0005,0.1676,0.0,1.0,0.0,0.0652,0.0329,0.8685,0.3454,0.0491,0.0006
0.0,0.0,0.0,0.0004,0.0,1.0,0.0032,0.0008,0.0,0.0,0.0,0.0
0.642,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0091,0.0
0.7629,0.0003,0.1152,0.1216,0.1106,0.0,0.1858,1.0,0.019,0.058,0.0401,0.0012
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.4837,0.0031,0.0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0035,0.0045,0.0004,0.0,0.0004,0.0017,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,1.0
