bin_edges,hist_data,kde_values
600.0,9680,0.001470616640716223
629.0322580645161,3,0.0011011475902415438
658.0645161290322,5,0.0004661635668473873
687.0967741935484,78,0.00012729779006040077
716.1290322580645,1,8.6470184447603e-05
745.1612903225806,1,0.0002538142403381563
774.1935483870968,4581,0.0005602189498885238
803.2258064516129,36,0.0007260374509293251
832.258064516129,34,0.0006256090351641375
861.2903225806451,44,0.000573693400694518
890.3225806451612,4087,0.0006529004375328022
919.3548387096774,0,0.0005572493784598339
948.3870967741935,1,0.00028662104987529474
977.4193548387096,148,9.729208613178351e-05
1006.4516129032259,0,3.596210212093502e-05
1035.483870967742,0,2.253676917036843e-05
1064.516129032258,0,2.4227019499772186e-05
1093.5483870967741,191,3.01911894674995e-05
1122.5806451612902,2,2.693706196600733e-05
1151.6129032258063,0,1.9714083076791965e-05
1180.6451612903224,117,1.8834407370630548e-05
1209.6774193548385,0,1.779018790899332e-05
1238.7096774193549,0,1.0963782209407902e-05
1267.741935483871,1,4.548454845432103e-06
1296.774193548387,10,2.3523368585751125e-06
1325.8064516129032,3,2.3646276110726277e-06
1354.8387096774193,2,7.215514706602112e-06
1383.8709677419356,5,7.31755868452134e-05
1412.9032258064517,2,0.0005517678321110403
1441.9354838709678,0,0.00236839268113035
1470.967741935484,50089,0.005682180053238912
