Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.994,1.518,1.178,13.7,13.25,0.0011799335479736328,0.21967424718370535,0.46083664894104004,0.06448531150817871
cpu_system_time_diff_ema_1,0.993,1.74,1.301,13.52,13.19,0.0011799335479736328,0.21967424718370535,0.46083664894104004,0.06448531150817871
cpu_idle_time_diff_ema_1,0.988,2.306,1.621,12.69,12.47,0.0011799335479736328,0.21967424718370535,0.46083664894104004,0.06448531150817871
memory_ema_1,0.99,2.065,1.551,17.14,16.16,0.0011799335479736328,0.21967424718370535,0.46083664894104004,0.06448531150817871
