Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff,0.944,1.009,0.326,19.1,6.65,0.0014133453369140625,0.21832198322744736,15.53360390663147,0.1355750560760498
cpu_system_time_diff,0.751,0.205,0.115,20.66,14.87,0.0014133453369140625,0.1742788495998262,13.212571859359741,0.08360481262207031
cpu_idle_time_diff,0.915,1.219,0.403,7.64,6.71,0.0014133453369140625,0.17514124456118277,8.971858501434326,0.08328032493591309
memory,0.965,1.166,0.346,1.8,1.79,0.0014133453369140625,0.20410259322505905,12.761983633041382,0.12500643730163574
