,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
0,[0.05999999865889549],[0],0.05999999865889549,0.05999999865889549,[0.03999999910593033],[0.31383153796195984],0.2738315388560295,0.2738315388560295,[19.920000076293945],[19.25406837463379],0.6659317016601562,0.6659317016601562,[28.299999237060547],[24.742443084716797],3.55755615234375,3.55755615234375
1,[0.07000000029802322],[0],0.07000000029802322,0.07000000029802322,[0.059999994933605194],[0.12002190947532654],0.060021914541721344,0.060021914541721344,[19.860000610351562],[19.640003204345703],0.21999740600585938,0.21999740600585938,[28.299999237060547],[24.798221588134766],3.5017776489257812,3.5017776489257812
2,[0.05999999865889549],[0],0.05999999865889549,0.05999999865889549,[0.029999997466802597],[0.3176780343055725],0.2876780368387699,0.2876780368387699,[19.920000076293945],[19.27737045288086],0.6426296234130859,0.6426296234130859,[28.299999237060547],[24.787988662719727],3.5120105743408203,3.5120105743408203
3,[0.20999999344348907],[0],0.20999999344348907,0.20999999344348907,[0.11999998986721039],[0.11707445234060287],0.0029255375266075134,0.0029255375266075134,[19.649999618530273],[19.626285552978516],0.023714065551757812,0.023714065551757812,[28.299999237060547],[24.756526947021484],3.5434722900390625,3.5434722900390625
4,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.03999999910593033],[0.33475461602211],0.29475461691617966,0.29475461691617966,[19.90999984741211],[18.917287826538086],0.9927120208740234,0.9927120208740234,[28.299999237060547],[25.12882423400879],3.171175003051758,3.171175003051758
5,[0.07999999821186066],[0],0.07999999821186066,0.07999999821186066,[0.07000000029802322],[0.30813273787498474],0.23813273757696152,0.23813273757696152,[19.8700008392334],[19.325475692749023],0.544525146484375,0.544525146484375,[28.299999237060547],[24.594497680664062],3.7055015563964844,3.7055015563964844
6,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.03999999910593033],[0.31607213616371155],0.2760721370577812,0.2760721370577812,[19.920000076293945],[19.307025909423828],0.6129741668701172,0.6129741668701172,[28.299999237060547],[24.759939193725586],3.540060043334961,3.540060043334961
7,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.07999999821186066],[0.12012219429016113],0.040122196078300476,0.040122196078300476,[19.860000610351562],[19.642778396606445],0.2172222137451172,0.2172222137451172,[28.299999237060547],[24.798826217651367],3.5011730194091797,3.5011730194091797
8,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.029999997466802597],[0.32372918725013733],0.29372918978333473,0.29372918978333473,[19.920000076293945],[19.31039810180664],0.6096019744873047,0.6096019744873047,[28.399999618530273],[24.872344970703125],3.5276546478271484,3.5276546478271484
9,[0.05999999865889549],[0],0.05999999865889549,0.05999999865889549,[0.07000000029802322],[0.04518820345401764],0.024811796844005585,0.024811796844005585,[19.860000610351562],[19.41169548034668],0.4483051300048828,0.4483051300048828,[28.399999618530273],[26.232332229614258],2.1676673889160156,2.1676673889160156
10,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05000000074505806],[0.2532559335231781],0.20325593277812004,0.20325593277812004,[19.920000076293945],[19.060941696166992],0.8590583801269531,0.8590583801269531,[28.399999618530273],[26.37605857849121],2.0239410400390625,2.0239410400390625
11,[0.07999999821186066],[0],0.07999999821186066,0.07999999821186066,[0.05000000074505806],[0.12633778154850006],0.076337780803442,0.076337780803442,[19.850000381469727],[19.642478942871094],0.2075214385986328,0.2075214385986328,[28.299999237060547],[24.924564361572266],3.3754348754882812,3.3754348754882812
12,[0.07000000029802322],[0],0.07000000029802322,0.07000000029802322,[0.05000000074505806],[0.31435996294021606],0.264359962195158,0.264359962195158,[19.90999984741211],[19.238475799560547],0.6715240478515625,0.6715240478515625,[28.299999237060547],[24.743022918701172],3.556976318359375,3.556976318359375
13,[0.05999999865889549],[0],0.05999999865889549,0.05999999865889549,[0.07000000029802322],[0.12285909056663513],0.05285909026861191,0.05285909026861191,[19.860000610351562],[19.647964477539062],0.2120361328125,0.2120361328125,[28.299999237060547],[24.841339111328125],3.458660125732422,3.458660125732422
14,[0.05999999865889549],[0],0.05999999865889549,0.05999999865889549,[0.03999999910593033],[0.3216676414012909],0.28166764229536057,0.28166764229536057,[19.920000076293945],[19.28022003173828],0.6397800445556641,0.6397800445556641,[28.299999237060547],[24.856163024902344],3.443836212158203,3.443836212158203
15,[0.2199999988079071],[0],0.2199999988079071,0.2199999988079071,[0.07999999821186066],[0.11952772736549377],0.03952772915363312,0.03952772915363312,[19.690000534057617],[19.640151977539062],0.04984855651855469,0.04984855651855469,[28.299999237060547],[24.786479949951172],3.513519287109375,3.513519287109375
