Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.919,3.117,1.893,51.97,58.75,0,0.060097697762993556,0.14011836051940918,0.033864498138427734
cpu_system_time_diff_ema_1,0.897,3.599,2.361,68.96,92.9,0,0.060097697762993556,0.14011836051940918,0.033864498138427734
cpu_idle_time_diff_ema_1,0.998,0.511,0.245,24.62,13.44,0,0.060097697762993556,0.14011836051940918,0.033864498138427734
memory_ema_1,0.632,9.354,5.183,149.68,103.74,0,0.060097697762993556,0.14011836051940918,0.033864498138427734
