Resource,Score,RMSE,MAE,MAPE,SMAPE,Training time,Mean Inference time,Max Inference time,Min Inference time
cpu_user_time_diff_ema_1,0.953,2.59,1.76,63.5,32.54,46852.92918968201,0.06821130186938566,0.12696528434753418,0.04454302787780762
cpu_system_time_diff_ema_1,-0.259,12.859,10.507,626.2,129.29,46852.92918968201,0.06821130186938566,0.12696528434753418,0.04454302787780762
cpu_idle_time_diff_ema_1,0.97,2.15,1.288,15.85,17.93,46852.92918968201,0.06821130186938566,0.12696528434753418,0.04454302787780762
memory_ema_1,0.941,2.858,1.795,23.93,27.0,46852.92918968201,0.06821130186938566,0.12696528434753418,0.04454302787780762
