,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
0,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.03999999910593033],[0.15109708905220032],0.11109708994626999,0.11109708994626999,[19.940000534057617],[17.840864181518555],2.0991363525390625,2.0991363525390625,[30.69999885559082],[26.845115661621094],3.8548831939697266,3.8548831939697266
1,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.05999999865889549],[0.18946410715579987],0.12946410849690437,0.12946410849690437,[19.90999984741211],[17.797700881958008],2.1122989654541016,2.1122989654541016,[30.69999885559082],[29.473819732666016],1.2261791229248047,1.2261791229248047
2,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.07000000029802322],[0.12637779116630554],0.05637779086828232,0.05637779086828232,[19.889999389648438],[17.897563934326172],1.9924354553222656,1.9924354553222656,[30.69999885559082],[28.206300735473633],2.4936981201171875,2.4936981201171875
3,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.029999999329447746],[0.15470637381076813],0.12470637448132038,0.12470637448132038,[19.940000534057617],[17.840639114379883],2.0993614196777344,2.0993614196777344,[30.69999885559082],[26.889278411865234],3.810720443725586,3.810720443725586
4,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07000000029802322],[0.19162175059318542],0.1216217502951622,0.1216217502951622,[19.889999389648438],[17.816909790039062],2.073089599609375,2.073089599609375,[30.69999885559082],[29.442075729370117],1.2579231262207031,1.2579231262207031
5,[0.019999999552965164],[0],0.019999999552965164,0.019999999552965164,[0.05000000074505806],[0.15118195116519928],0.10118195042014122,0.10118195042014122,[19.950000762939453],[17.83274269104004],2.117258071899414,2.117258071899414,[30.69999885559082],[26.848581314086914],3.8514175415039062,3.8514175415039062
6,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05999999865889549],[0.19205805659294128],0.1320580579340458,0.1320580579340458,[19.889999389648438],[17.80665397644043],2.083345413208008,2.083345413208008,[30.69999885559082],[29.539854049682617],1.1601448059082031,1.1601448059082031
7,[0.019999999552965164],[0],0.019999999552965164,0.019999999552965164,[0.05000000074505806],[0.14882445335388184],0.09882445260882378,0.09882445260882378,[19.940000534057617],[17.849332809448242],2.090667724609375,2.090667724609375,[30.69999885559082],[26.893312454223633],3.8066864013671875,3.8066864013671875
8,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07000000029802322],[0.19150042533874512],0.1215004250407219,0.1215004250407219,[19.889999389648438],[17.817419052124023],2.072580337524414,2.072580337524414,[30.69999885559082],[29.531578063964844],1.1684207916259766,1.1684207916259766
9,[0.019999999552965164],[0],0.019999999552965164,0.019999999552965164,[0.03999999910593033],[0.15073104202747345],0.11073104292154312,0.11073104292154312,[19.950000762939453],[17.838693618774414],2.111307144165039,2.111307144165039,[30.69999885559082],[26.93356704711914],3.7664318084716797,3.7664318084716797
10,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05000000074505806],[0.1903894692659378],0.14038946852087975,0.14038946852087975,[19.90999984741211],[17.82687759399414],2.0831222534179688,2.0831222534179688,[30.69999885559082],[29.49839210510254],1.2016067504882812,1.2016067504882812
11,[0.06000000238418579],[0],0.06000000238418579,0.06000000238418579,[0.05999999865889549],[0.1265455037355423],0.0665455050766468,0.0665455050766468,[19.8799991607666],[17.894861221313477],1.985137939453125,1.985137939453125,[30.69999885559082],[28.12776756286621],2.5722312927246094,2.5722312927246094
12,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.03999999910593033],[0.15400904417037964],0.11400904506444931,0.11400904506444931,[19.940000534057617],[17.819398880004883],2.1206016540527344,2.1206016540527344,[30.69999885559082],[26.832151412963867],3.867847442626953,3.867847442626953
13,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05999999865889549],[0.19117000699043274],0.13117000833153725,0.13117000833153725,[19.889999389648438],[17.793737411499023],2.096261978149414,2.096261978149414,[30.69999885559082],[29.463665008544922],1.2363338470458984,1.2363338470458984
14,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.03999999910593033],[0.15067937970161438],0.11067938059568405,0.11067938059568405,[19.950000762939453],[17.8485050201416],2.1014957427978516,2.1014957427978516,[30.69999885559082],[26.828678131103516],3.8713207244873047,3.8713207244873047
15,[0.06000000238418579],[0],0.06000000238418579,0.06000000238418579,[0.05000000074505806],[0.1880047619342804],0.13800476118922234,0.13800476118922234,[19.889999389648438],[17.79527473449707],2.094724655151367,2.094724655151367,[30.69999885559082],[29.478160858154297],1.2218379974365234,1.2218379974365234
16,[0.019999999552965164],[0],0.019999999552965164,0.019999999552965164,[0.03999999910593033],[0.1475526988506317],0.10755269974470139,0.10755269974470139,[19.940000534057617],[17.86288070678711],2.077119827270508,2.077119827270508,[30.69999885559082],[26.82798957824707],3.87200927734375,3.87200927734375
17,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.07000000029802322],[0.18887361884117126],0.11887361854314804,0.11887361854314804,[19.889999389648438],[17.80603790283203],2.0839614868164062,2.0839614868164062,[30.69999885559082],[29.468393325805664],1.2316055297851562,1.2316055297851562
18,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.029999999329447746],[0.1533265858888626],0.12332658655941486,0.12332658655941486,[19.940000534057617],[17.84260368347168],2.0973968505859375,2.0973968505859375,[30.69999885559082],[26.908273696899414],3.7917251586914062,3.7917251586914062
19,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05999999865889549],[0.18678303062915802],0.12678303197026253,0.12678303197026253,[19.90999984741211],[17.795581817626953],2.1144180297851562,2.1144180297851562,[30.69999885559082],[29.454458236694336],1.2455406188964844,1.2455406188964844
20,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.05999999865889549],[0.12480651587247849],0.06480651721358299,0.06480651721358299,[19.889999389648438],[17.89011573791504],1.9998836517333984,1.9998836517333984,[30.69999885559082],[28.22466278076172],2.4753360748291016,2.4753360748291016
21,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.03999999910593033],[0.15200288593769073],0.1120028868317604,0.1120028868317604,[19.940000534057617],[17.845001220703125],2.094999313354492,2.094999313354492,[30.69999885559082],[26.856040954589844],3.8439579010009766,3.8439579010009766
22,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07000000029802322],[0.19110499322414398],0.12110499292612076,0.12110499292612076,[19.889999389648438],[17.804855346679688],2.08514404296875,2.08514404296875,[30.69999885559082],[29.42327308654785],1.2767257690429688,1.2767257690429688
23,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.03999999910593033],[0.15085554122924805],0.11085554212331772,0.11085554212331772,[19.920000076293945],[17.838945388793945],2.0810546875,2.0810546875,[30.69999885559082],[26.92952537536621],3.7704734802246094,3.7704734802246094
24,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07000000029802322],[0.2160358875989914],0.14603588730096817,0.14603588730096817,[19.90999984741211],[17.85763931274414],2.0523605346679688,2.0523605346679688,[30.69999885559082],[29.675735473632812],1.0242633819580078,1.0242633819580078
25,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.05999999865889549],[0.14462940394878387],0.08462940528988838,0.08462940528988838,[19.899999618530273],[17.91187858581543],1.9881210327148438,1.9881210327148438,[30.69999885559082],[28.564268112182617],2.135730743408203,2.135730743408203
26,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07000000029802322],[0.12850455939769745],0.058504559099674225,0.058504559099674225,[19.899999618530273],[17.8772029876709],2.022796630859375,2.022796630859375,[30.69999885559082],[28.257495880126953],2.442502975463867,2.442502975463867
27,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.029999999329447746],[0.1525205373764038],0.12252053804695606,0.12252053804695606,[19.950000762939453],[17.84182357788086],2.1081771850585938,2.1081771850585938,[30.69999885559082],[26.939502716064453],3.760496139526367,3.760496139526367
28,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.07999999821186066],[0.18729105591773987],0.10729105770587921,0.10729105770587921,[19.889999389648438],[17.819795608520508],2.0702037811279297,2.0702037811279297,[30.69999885559082],[29.47029685974121],1.2297019958496094,1.2297019958496094
29,[0.019999999552965164],[0],0.019999999552965164,0.019999999552965164,[0.05000000074505806],[0.15353316068649292],0.10353315994143486,0.10353315994143486,[19.950000762939453],[17.848756790161133],2.1012439727783203,2.1012439727783203,[30.69999885559082],[26.93440818786621],3.7655906677246094,3.7655906677246094
30,[0.05000000074505806],[0],0.05000000074505806,0.05000000074505806,[0.05000000074505806],[0.19581271708011627],0.1458127163350582,0.1458127163350582,[19.889999389648438],[17.818500518798828],2.0714988708496094,2.0714988708496094,[30.69999885559082],[29.546363830566406],1.153635025024414,1.153635025024414
31,[0.030000001192092896],[0],0.030000001192092896,0.030000001192092896,[0.03999999910593033],[0.1469285637140274],0.10692856460809708,0.10692856460809708,[19.950000762939453],[17.834718704223633],2.1152820587158203,2.1152820587158203,[30.69999885559082],[26.828325271606445],3.871673583984375,3.871673583984375
32,[0.03999999910593033],[0],0.03999999910593033,0.03999999910593033,[0.05999999865889549],[0.18791097402572632],0.12791097536683083,0.12791097536683083,[19.90999984741211],[17.81511688232422],2.0948829650878906,2.0948829650878906,[30.69999885559082],[29.479978561401367],1.2200202941894531,1.2200202941894531
